;src;dst;cost;energy;travel_time;waiting_time;delta_time;line_i;line_j;idx_src;idx_dst;c_stand;energy_stand;t_e;n_e;t_s;n_s;rg_id;rg
0;o_D0;n_T0;60.0;4725.0;15;0;15;0;410;0;4;0.5172413793103449;0.04725;0.0;n601;240.0;n3300440;1.0;1.0
1;o_D1;n_T0;52.0;4095.0;13;0;13;0;410;2;4;0.4482758620689655;0.04095;0.0;n601b;240.0;n3300440;1.0;1.0
2;o_D0;n_T1;84.0;6615.0;21;0;21;0;411;0;5;0.7241379310344828;0.06615;0.0;n601;245.0;n601b;1.0;2.0
3;o_D1;n_T1;0.0;0.0;0;0;0;0;411;2;5;0.0;0.0;0.0;n601b;245.0;n601b;1.0;2.0
4;o_D0;n_T2;60.0;4725.0;15;0;15;0;410;0;6;0.5172413793103449;0.04725;0.0;n601;250.0;n3300440;2.0;3.0
5;o_D1;n_T2;52.0;4095.0;13;0;13;0;410;2;6;0.4482758620689655;0.04095;0.0;n601b;250.0;n3300440;2.0;3.0
6;o_D0;n_T3;84.0;6615.0;21;0;21;0;411;0;7;0.7241379310344828;0.06615;0.0;n601;255.0;n601b;2.0;4.0
7;o_D1;n_T3;0.0;0.0;0;0;0;0;411;2;7;0.0;0.0;0.0;n601b;255.0;n601b;2.0;4.0
8;o_D0;n_T4;60.0;4725.0;15;0;15;0;410;0;8;0.5172413793103449;0.04725;0.0;n601;260.0;n3300440;3.0;5.0
9;o_D1;n_T4;52.0;4095.0;13;0;13;0;410;2;8;0.4482758620689655;0.04095;0.0;n601b;260.0;n3300440;3.0;5.0
10;o_D0;n_T5;84.0;6615.0;21;0;21;0;411;0;9;0.7241379310344828;0.06615;0.0;n601;265.0;n601b;3.0;6.0
11;o_D1;n_T5;0.0;0.0;0;0;0;0;411;2;9;0.0;0.0;0.0;n601b;265.0;n601b;3.0;6.0
12;o_D0;n_T6;60.0;4725.0;15;0;15;0;410;0;10;0.5172413793103449;0.04725;0.0;n601;270.0;n3300440;4.0;7.0
13;o_D1;n_T6;52.0;4095.0;13;0;13;0;410;2;10;0.4482758620689655;0.04095;0.0;n601b;270.0;n3300440;4.0;7.0
14;w_H0_P0;n_T6;0.0;0.0;0;0;0;0;410;773;10;0.0;0.0;270.0;n3300440;270.0;n3300440;1.0;1.0
15;w_H1_P0;n_T6;0.0;0.0;0;0;0;0;410;937;10;0.0;0.0;270.0;n3300440;270.0;n3300440;1.0;1.0
16;o_D0;n_T7;84.0;6615.0;21;0;21;0;411;0;11;0.7241379310344828;0.06615;0.0;n601;275.0;n601b;4.0;8.0
17;n_T0;n_T7;8.0;7395.0;0;4;4;410;411;4;11;0.06896551724137931;0.07395;271.0;n601b;275.0;n601b;1.0;1.0
18;o_D1;n_T7;0.0;0.0;0;0;0;0;411;2;11;0.0;0.0;0.0;n601b;275.0;n601b;4.0;8.0
19;o_D0;n_T8;60.0;4725.0;15;0;15;0;410;0;12;0.5172413793103449;0.04725;0.0;n601;280.0;n3300440;5.0;9.0
