net,max_min,seed,nb_trips,sol_time,nb_veh_D0,nb_veh_D1,obj_val
3b,2,1,966,376.5,0.0,59.9971,66748.06
3b,2,3,1037,400.4,0.0,63.997,71037.86
3b,2,4,1026,1731.8,0.0,68.9966,76535.34
3b,2,5,1043,723.0,0.0,57.9973,64764.29
3b,2,6,1063,9022.3,0.0,61.9971,68483.77
3b,2,7,1017,941.9,0.0,63.9964,70999.24
3b,2,8,1004,533.0,0.0,63.9968,70997.47
3b,2,9,1049,311.9,0.0,63.9969,71047.7
3b,2,10,1067,21681.0,0.0,61.997,69159.59
3b,2,11,1021,391.2,0.0,63.997,70689.74
3b,2,12,1050,1348.9,0.0,63.9966,71293.39
3b,2,13,1024,460.9,0.0,63.9967,70841.54
3b,2,14,1075,564.3,0.0,69.9964,77503.06
3b,2,16,1056,6123.1,0.0,68.9964,76559.12
3b,2,17,1123,1032.7,0.0,68.9966,76527.44
3b,2,18,955,1395.3,0.0,50.9972,57650.12
3b,2,19,1004,2932.4,0.0,51.9977,58702.6
3b,2,20,985,310.2,0.0,59.9972,66948.22
3b,2,21,1010,8788.9,0.0,57.9975,64952.38
3b,2,22,1026,1400.6,0.0,63.9969,70945.8
3b,2,23,1035,2696.2,0.0,63.9972,71339.75
3b,2,24,1003,520.8,0.0,57.9974,64512.28
3b,2,25,1082,445.8,0.0,63.9969,72147.36
3b,2,27,986,619.4,0.0,57.997,64869.8
3b,2,28,971,1202.4,0.0,65.9968,72855.61
3b,2,29,1081,21740.7,0.0,61.9971,68969.9
3b,2,30,1009,1789.2,0.0,57.9975,64636.37
3b,2,31,1015,1181.0,0.0,68.9966,76051.35
3b,2,32,1053,6168.7,0.0,63.9969,71877.57
3b,2,34,969,767.9,0.0,57.997,64517.93
3b,2,35,1158,1482.1,0.0,68.9967,76953.17
3b,2,36,1405,21633.6,0.0,68.9968,78061.75
3b,2,37,1121,1362.6,0.0,64.9968,71999.51
3b,2,38,1142,862.5,0.0,68.9967,76951.28
3b,2,39,1064,1950.3,0.0,63.9967,71955.25
3b,2,40,1060,2965.6,0.0,63.9968,71481.49
3b,2,41,1107,6401.3,0.0,63.9968,71645.22
3b,2,43,1056,4451.3,0.0,57.997,65319.79
3b,2,44,987,836.2,0.0,68.9965,75925.46
3b,2,45,1024,1331.3,0.0,68.9967,76229.61
3b,2,46,1076,728.1,0.0,68.9968,76675.47
3b,2,47,1106,2615.7,0.0,63.9964,71306.92
3b,2,49,1110,6029.6,0.0,63.9967,71679.23
3b,2,50,1095,28850.3,0.0,68.9964,76577.43
3b,2,51,1069,339.0,0.0,63.9967,71711.35
3b,2,52,986,688.5,0.0,56.9974,63954.24
3b,2,53,1147,2504.4,0.0,63.9967,71645.42
3b,2,54,1001,743.9,0.0,57.9968,65099.61
3b,2,55,1090,2657.6,0.0,63.9964,72204.75
3b,2,56,1166,1768.2,0.0,63.9968,71905.41
3b,2,57,1040,615.8,0.0,63.9967,71289.57
3b,2,58,1091,5166.7,0.0,61.997,69703.48
3b,2,59,989,2132.8,0.0,50.9973,57624.08
3b,2,60,956,295.0,0.0,57.9969,64649.74
3b,2,61,984,1164.0,0.0,50.9978,57946.52
3b,2,62,1001,2742.2,0.0,57.9974,64986.26
3b,2,63,1095,601.5,0.0,68.9962,76551.07
3b,2,64,1043,1391.5,0.0,56.9972,64305.93
3b,2,65,1105,1266.5,0.0,68.9963,76527.07
3b,2,66,1052,592.0,0.0,63.9968,71439.53
3b,2,68,1107,605.1,0.0,63.9968,71577.48
3b,2,69,1125,569.1,0.0,57.9972,65187.71
3b,2,70,1013,2334.0,0.0,57.9972,64951.87
3b,2,71,996,2434.3,0.0,63.9967,70975.51
3b,2,72,1103,967.5,0.0,63.9966,71569.31
3b,2,73,997,2521.2,0.0,50.9973,58054.2
3b,2,74,967,2098.7,0.0,59.997,66497.77
3b,2,75,1079,1351.6,0.0,63.9968,70891.54
3b,2,76,985,821.3,0.0,63.9969,71391.66
3b,2,77,1072,21669.6,0.0,63.9967,71623.2
3b,2,78,1135,2351.6,0.0,63.9968,71983.3
