net,max_min,seed,nb_inequalities,nb_trips,def_nb_veh_D0,def_nb_veh_D1,def_obj_val,def_sol_time,def_col_gen_iter,def_tot_mem_use,ineq_nb_veh_D0,ineq_nb_veh_D1,ineq_obj_val,ineq_sol_time,ineq_col_gen_iter,ineq_tot_mem_use,model_acc
3b,2,1,477,966,0.0,59.9971,66748.06,313.9,130,61.426,0.0,59.9971,66687.94,323.0,153,60.305,0.9310542463575645
3b,2,3,506,1037,0.0,63.997,71037.86,311.9,123,64.361,0.0,61.4969,69004.18,358.7,160,61.508,0.9405338912116532
3b,2,4,576,1026,0.0,68.9966,76535.34,1320.3,215,62.387,0.0,68.9964,76497.15,376.0,167,63.476,0.927539294007281
3b,2,5,512,1043,0.0,57.9973,64764.29,551.9,145,61.44,0.0,57.9973,64743.21,383.6,152,60.917,0.937079874953989
3b,2,6,464,1063,0.0,61.9971,68483.77,6716.8,493,69.908,0.0,61.9968,68408.61,943.8,206,68.114,0.9157468704802252
3b,2,7,501,1017,0.0,63.9964,70999.24,751.0,152,60.654,0.0,62.9965,70038.24,596.7,188,65.799,0.930281367826864
3b,2,8,533,1004,0.0,63.9968,70997.47,468.5,139,59.98,0.0,63.9967,70949.43,322.5,158,65.436,0.9333443282354621
3b,2,9,517,1049,0.0,63.9969,71047.7,252.6,113,68.887,0.0,62.9967,70151.52,409.0,148,66.359,0.9387028394933025
3b,2,10,461,1067,0.0,61.997,69159.52,21893.7,525,67.033,0.0,61.9967,69109.17,858.5,184,65.686,0.9285429991761162
3b,2,11,499,1021,0.0,63.997,70689.74,315.4,127,59.897,0.0,62.997,69714.68,298.7,144,59.684,0.9393513560293816
3b,2,12,561,1050,0.0,63.9966,71293.39,986.0,169,63.559,0.0,63.4964,70875.18,417.0,151,68.266,0.9345124404846277
3b,2,13,535,1024,0.0,63.9967,70841.54,378.0,130,62.909,0.0,63.9967,70802.47,303.2,138,63.915,0.9332851916040824
3b,2,14,567,1075,0.0,69.9964,77503.06,453.8,132,70.242,0.0,69.9962,77405.9,425.4,161,66.631,0.9457698762976317
