net,max_min,seed,nb_inequalities,nb_trips,def_nb_veh_D0,def_nb_veh_D1,def_obj_val,def_sol_time,def_col_gen_iter,def_tot_mem_use,ineq_nb_veh_D0,ineq_nb_veh_D1,ineq_obj_val,ineq_sol_time,ineq_col_gen_iter,ineq_tot_mem_use,model_acc
3b,2,1,471,966,0.0,59.9971,66748.06,313.9,130,61.426,0.0,59.9971,66558.98,238.9,117,58.762,0.9310542463575645
3b,2,3,500,1037,0.0,63.997,71037.86,311.9,123,64.361,0.0,61.997,69225.77,419.9,146,68.804,0.9405338912116532
3b,2,4,569,1026,0.0,68.9966,76535.34,1320.3,215,62.387,0.0,68.9964,76265.13,366.3,136,62.689,0.927539294007281
3b,2,5,517,1043,0.0,57.9973,64764.29,551.9,145,61.44,0.0,57.9973,64613.19,331.2,129,67.63,0.937079874953989
3b,2,6,461,1063,0.0,61.9971,68483.77,6716.8,493,69.908,0.0,61.9968,68275.56,755.4,172,70.385,0.9157468704802252
3b,2,7,498,1017,0.0,63.9964,70999.24,751.0,152,60.654,0.0,62.9965,69869.25,392.8,137,71.309,0.930281367826864
3b,2,8,526,1004,0.0,63.9968,70997.47,468.5,139,59.98,0.0,62.9966,69911.35,270.3,129,69.13,0.9333443282354621
3b,2,9,502,1049,0.0,63.9969,71047.7,252.6,113,68.887,0.0,62.9967,69995.51,493.4,129,70.173,0.9387028394933025
3b,2,10,474,1067,0.0,61.997,69159.52,21893.7,525,67.033,0.0,61.9967,68839.19,20001.4,560,90.327,0.9285429991761162
3b,2,11,506,1021,0.0,63.997,70689.74,315.4,127,59.897,0.0,62.997,69619.68,226.4,110,60.033,0.9393513560293816
3b,2,12,566,1050,0.0,63.9966,71293.39,986.0,169,63.559,0.0,63.4966,70736.31,418.4,128,70.665,0.9345124404846277
3b,2,13,533,1024,0.0,63.9967,70841.54,378.0,130,62.909,0.0,63.9967,70665.46,227.4,116,59.079,0.9332851916040824
3b,2,14,556,1075,0.0,69.9964,77503.06,453.8,132,70.242,0.0,69.9962,77233.91,385.1,133,69.393,0.9457698762976317
3b,2,16,526,1056,0.0,68.9964,76559.12,4667.0,328,68.524,0.0,68.9962,76432.86,303.4,113,69.296,0.9421100845552562
3b,2,17,575,1123,0.0,68.9966,76527.44,807.5,156,69.06,0.0,67.9966,75368.31,374.1,122,80.972,0.9169802362263534
3b,2,18,440,955,0.0,50.9972,57650.12,1064.1,199,56.037,0.0,50.4973,56957.14,479.8,146,66.163,0.915609875520235
3b,2,19,452,1004,0.0,51.9977,58702.6,2112.1,292,70.158,0.0,51.9977,58558.56,281.3,123,64.694,0.9104455564589082
3b,2,20,477,985,0.0,59.9972,66948.22,255.3,114,63.106,0.0,59.9972,66768.19,224.5,118,56.794,0.9273150500795043
3b,2,21,521,1010,0.0,57.9975,64952.38,6325.0,310,72.611,0.0,57.9973,64730.19,929.9,195,72.663,0.9257477283160436
3b,2,22,510,1026,0.0,63.9969,70945.8,1001.3,175,66.836,0.0,63.9968,70729.55,697.5,162,73.389,0.9350652808246895
3b,2,23,525,1035,0.0,63.9972,71339.75,2043.9,241,62.666,0.0,63.9972,70889.89,544.3,149,62.598,0.9159053796229182
3b,2,24,506,1003,0.0,57.9974,64512.28,417.4,151,59.526,0.0,57.9973,64410.13,398.4,130,66.367,0.9268761575792624
3b,2,25,577,1082,0.0,63.9969,72147.36,367.0,120,65.504,0.0,62.997,70875.21,689.2,144,72.595,0.9160121572655316
3b,2,27,496,986,0.0,57.997,64869.8,487.9,150,61.41,0.0,57.997,64731.69,297.5,121,61.108,0.9320834001529297
3b,2,28,467,971,0.0,65.9968,72855.61,877.2,185,55.228,0.0,65.9968,72698.65,335.1,133,62.599,0.9259926914904659
3b,2,29,464,1081,0.0,61.9971,68969.72,26737.6,573,78.475,0.0,61.9969,68825.61,5628.4,459,89.047,0.9052039471820703
3b,2,30,512,1009,0.0,57.9975,64636.37,1335.6,214,63.347,0.0,57.9971,64431.98,256.1,123,61.985,0.9326721998745493
3b,2,31,539,1015,0.0,68.9966,76051.35,914.8,179,72.089,0.0,68.9966,75843.31,355.6,132,76.554,0.9380089640125694
3b,2,32,512,1053,0.0,63.9969,71877.57,4641.2,310,71.793,0.0,63.9968,71631.31,381.4,129,67.442,0.9084740437282288
3b,2,34,500,969,0.0,57.997,64517.93,614.4,167,64.036,0.0,57.997,64347.83,508.0,144,68.729,0.9400503064357462
3b,2,35,639,1158,0.0,68.9967,76953.17,1158.7,153,84.635,0.0,67.9966,75611.97,662.6,118,89.713,0.9148746483724429
3b,2,36,659,1405,0.0,68.9968,78061.37,21607.2,441,105.906,0.0,68.9966,77431.1,4217.1,243,117.098,0.9168887842724581
3b,2,37,549,1121,0.0,64.9968,71999.51,1057.7,181,73.442,0.0,64.9967,71753.38,301.0,114,67.085,0.9517080745341615
3b,2,38,577,1142,0.0,68.9967,76951.28,665.2,141,72.201,0.0,68.4966,76093.08,920.2,143,85.626,0.9341972752777233
3b,2,39,536,1064,0.0,63.9967,71955.25,1528.3,176,75.403,0.0,62.9965,70631.17,516.8,127,71.082,0.9119919649161189
3b,2,40,547,1060,0.0,63.9968,71481.49,2207.4,254,70.037,0.0,62.9968,70358.41,552.3,144,70.355,0.9299158903575327
3b,2,41,510,1107,0.0,63.9968,71645.22,4816.7,300,75.183,0.0,62.9968,70622.93,1180.7,182,109.95,0.9215464098559136
3b,2,43,573,1056,0.0,57.997,65319.79,3203.7,285,69.076,0.0,57.9969,64874.68,505.2,126,77.627,0.9026827841249593
3b,2,44,553,987,0.0,68.9965,75925.46,648.2,150,63.386,0.0,66.9964,73845.24,212.2,114,57.967,0.9464250454486651
3b,2,45,567,1024,0.0,68.9967,76229.61,990.7,178,76.516,0.0,68.9966,76006.06,278.1,108,73.443,0.9315131785086485
3b,2,46,557,1076,0.0,68.9968,76675.47,562.8,125,65.625,0.0,68.9967,76460.69,342.1,128,70.574,0.9400520458166498
3b,2,47,538,1106,0.0,63.9964,71306.92,2180.5,214,82.289,0.0,63.9964,70964.98,1292.6,165,89.804,0.929158585358369
3b,2,49,525,1110,0.0,63.9967,71679.23,4673.5,290,101.277,0.0,63.9965,71510.97,774.3,135,88.192,0.9112332470447213
3b,2,50,562,1095,0.0,68.9964,76577.43,22331.9,354,84.151,0.0,68.9962,76247.44,1259.9,184,99.65,0.9277090059906459
3b,2,51,575,1069,0.0,63.9967,71711.35,287.9,102,62.704,0.0,62.9967,70672.28,486.7,127,76.0,0.9356788690687542
3b,2,52,450,986,0.0,56.9974,63954.24,562.1,163,60.714,0.0,56.9973,63763.65,644.0,164,62.916,0.9298677821940508
3b,2,53,547,1147,0.0,63.9967,71645.42,1898.7,203,72.367,0.0,63.9966,71476.69,1002.1,171,80.306,0.9311177546880532
3b,2,54,506,1001,0.0,57.9968,65099.61,592.3,159,60.805,0.0,57.9966,64895.4,375.3,127,65.966,0.9335389789324086
3b,2,55,550,1090,0.0,63.9964,72204.75,1894.2,198,80.829,0.0,61.9965,70055.84,471.4,107,71.422,0.9111462989505966
3b,2,56,592,1166,0.0,63.9968,71905.41,1333.1,182,83.545,0.0,63.9966,71347.18,598.4,131,88.698,0.9133929373218154
