Done loading data from cached files.
Training ...
     Batch 000 | Loss : 8.1975 | Acc : 0.4459
     Batch 025 | Loss : 0.6416 | Acc : 0.6253
     Batch 050 | Loss : 0.5904 | Acc : 0.6402
     Batch 075 | Loss : 0.5922 | Acc : 0.6390
     Batch 100 | Loss : 0.5759 | Acc : 0.6518
     Batch 125 | Loss : 0.6338 | Acc : 0.6028
     Batch 150 | Loss : 0.6345 | Acc : 0.6033
     Batch 175 | Loss : 0.6089 | Acc : 0.6530
     Batch 200 | Loss : 0.5899 | Acc : 0.6575
     Batch 225 | Loss : 0.6205 | Acc : 0.6302
     Batch 250 | Loss : 0.6295 | Acc : 0.6266
     Batch 275 | Loss : 0.6547 | Acc : 0.5892
     Batch 300 | Loss : 0.6415 | Acc : 0.6140
Epoch 00000 | Train Loss : 0.7309 | Eval Loss : 0.6171 | Train acc : 0.6140 | Eval Acc : 0.6349
     Batch 000 | Loss : 0.6369 | Acc : 0.6184
     Batch 025 | Loss : 0.5755 | Acc : 0.6739
     Batch 050 | Loss : 0.6481 | Acc : 0.6053
     Batch 075 | Loss : 0.6169 | Acc : 0.6281
     Batch 100 | Loss : 0.6347 | Acc : 0.5947
     Batch 125 | Loss : 0.6480 | Acc : 0.5747
     Batch 150 | Loss : 0.5914 | Acc : 0.6508
     Batch 175 | Loss : 0.6282 | Acc : 0.6149
     Batch 200 | Loss : 0.6148 | Acc : 0.6329
     Batch 225 | Loss : 0.6482 | Acc : 0.5799
     Batch 250 | Loss : 0.6351 | Acc : 0.6129
     Batch 275 | Loss : 0.6140 | Acc : 0.6265
     Batch 300 | Loss : 0.5975 | Acc : 0.6404
Epoch 00001 | Train Loss : 0.6153 | Eval Loss : 0.6066 | Train acc : 0.6291 | Eval Acc : 0.6374
     Batch 000 | Loss : 0.6232 | Acc : 0.6279
     Batch 025 | Loss : 0.6080 | Acc : 0.6383
     Batch 050 | Loss : 0.5911 | Acc : 0.6329
     Batch 075 | Loss : 0.6429 | Acc : 0.5842
     Batch 100 | Loss : 0.6162 | Acc : 0.6118
     Batch 125 | Loss : 0.5425 | Acc : 0.6889
     Batch 150 | Loss : 0.5938 | Acc : 0.6470
     Batch 175 | Loss : 0.6305 | Acc : 0.6246
     Batch 200 | Loss : 0.6448 | Acc : 0.5995
     Batch 225 | Loss : 0.6194 | Acc : 0.6272
     Batch 250 | Loss : 0.6160 | Acc : 0.6230
     Batch 275 | Loss : 0.6443 | Acc : 0.5833
