Done loading data from cached files.
Training ...
     Batch 000 | Loss : 15.6596 | Acc : 0.5656
     Batch 025 | Loss : 0.6587 | Acc : 0.5838
     Batch 050 | Loss : 0.5602 | Acc : 0.6767
     Batch 075 | Loss : 0.6008 | Acc : 0.6336
     Batch 100 | Loss : 0.6247 | Acc : 0.6155
     Batch 125 | Loss : 0.6386 | Acc : 0.6027
     Batch 150 | Loss : 0.5997 | Acc : 0.6174
     Batch 175 | Loss : 0.6413 | Acc : 0.6065
     Batch 200 | Loss : 0.6335 | Acc : 0.6284
     Batch 225 | Loss : 0.6028 | Acc : 0.6328
     Batch 250 | Loss : 0.6042 | Acc : 0.6394
     Batch 275 | Loss : 0.5961 | Acc : 0.6612
     Batch 300 | Loss : 0.6117 | Acc : 0.6292
Epoch 00000 | Train Loss : 0.7281 | Eval Loss : 0.6027 | Train acc : 0.6307 | Eval Acc : 0.6356
     Batch 000 | Loss : 0.5543 | Acc : 0.6783
     Batch 025 | Loss : 0.5535 | Acc : 0.6789
     Batch 050 | Loss : 0.5323 | Acc : 0.7131
     Batch 075 | Loss : 0.6222 | Acc : 0.6213
     Batch 100 | Loss : 0.6251 | Acc : 0.6271
     Batch 125 | Loss : 0.5774 | Acc : 0.6552
     Batch 150 | Loss : 0.5905 | Acc : 0.6604
     Batch 175 | Loss : 0.6285 | Acc : 0.6194
     Batch 200 | Loss : 0.5431 | Acc : 0.6959
     Batch 225 | Loss : 0.5664 | Acc : 0.6727
     Batch 250 | Loss : 0.6096 | Acc : 0.6359
     Batch 275 | Loss : 0.6426 | Acc : 0.6040
     Batch 300 | Loss : 0.6008 | Acc : 0.6555
Epoch 00001 | Train Loss : 0.5930 | Eval Loss : 0.5896 | Train acc : 0.6512 | Eval Acc : 0.6554
     Batch 000 | Loss : 0.5424 | Acc : 0.7035
     Batch 025 | Loss : 0.5275 | Acc : 0.7087
     Batch 050 | Loss : 0.5483 | Acc : 0.6888
     Batch 075 | Loss : 0.5533 | Acc : 0.6962
     Batch 100 | Loss : 0.5493 | Acc : 0.6979
     Batch 125 | Loss : 0.5526 | Acc : 0.6903
     Batch 150 | Loss : 0.5428 | Acc : 0.7141
     Batch 175 | Loss : 0.6100 | Acc : 0.6392
     Batch 200 | Loss : 0.5588 | Acc : 0.7109
     Batch 225 | Loss : 0.5479 | Acc : 0.6928
     Batch 250 | Loss : 0.6016 | Acc : 0.6574
     Batch 275 | Loss : 0.5684 | Acc : 0.6977
     Batch 300 | Loss : 0.6037 | Acc : 0.6718
Epoch 00002 | Train Loss : 0.5771 | Eval Loss : 0.5573 | Train acc : 0.6770 | Eval Acc : 0.7079
     Batch 000 | Loss : 0.5300 | Acc : 0.7316
     Batch 025 | Loss : 0.5571 | Acc : 0.6862
     Batch 050 | Loss : 0.6721 | Acc : 0.6040
     Batch 075 | Loss : 0.5336 | Acc : 0.7265
     Batch 100 | Loss : 0.6304 | Acc : 0.6346
     Batch 125 | Loss : 0.5594 | Acc : 0.7096
     Batch 150 | Loss : 0.5285 | Acc : 0.7282
     Batch 175 | Loss : 0.4927 | Acc : 0.7587
     Batch 200 | Loss : 0.5781 | Acc : 0.6666
     Batch 225 | Loss : 0.5477 | Acc : 0.6979
     Batch 250 | Loss : 0.5479 | Acc : 0.6944
     Batch 275 | Loss : 0.5163 | Acc : 0.7293
     Batch 300 | Loss : 0.4939 | Acc : 0.7608
Epoch 00003 | Train Loss : 0.5463 | Eval Loss : 0.5153 | Train acc : 0.7066 | Eval Acc : 0.7390
     Batch 000 | Loss : 0.5459 | Acc : 0.7146
     Batch 025 | Loss : 0.4439 | Acc : 0.7901
     Batch 050 | Loss : 0.4513 | Acc : 0.7793
     Batch 075 | Loss : 0.4053 | Acc : 0.8073
     Batch 100 | Loss : 0.4824 | Acc : 0.7590
     Batch 125 | Loss : 0.4053 | Acc : 0.7981
     Batch 150 | Loss : 0.4501 | Acc : 0.7745
     Batch 175 | Loss : 0.3918 | Acc : 0.8080
     Batch 200 | Loss : 0.3552 | Acc : 0.8376
     Batch 225 | Loss : 0.4183 | Acc : 0.7907
     Batch 250 | Loss : 0.3691 | Acc : 0.8215
     Batch 275 | Loss : 0.3591 | Acc : 0.8372
     Batch 300 | Loss : 0.4577 | Acc : 0.7705
Epoch 00004 | Train Loss : 0.4288 | Eval Loss : 0.3973 | Train acc : 0.7904 | Eval Acc : 0.8056
     Batch 000 | Loss : 0.3897 | Acc : 0.8159
     Batch 025 | Loss : 0.5024 | Acc : 0.7505
     Batch 050 | Loss : 0.4339 | Acc : 0.7763
     Batch 075 | Loss : 0.4413 | Acc : 0.7688
     Batch 100 | Loss : 0.3553 | Acc : 0.8273
     Batch 125 | Loss : 0.4652 | Acc : 0.7665
     Batch 150 | Loss : 0.3932 | Acc : 0.8090
     Batch 175 | Loss : 0.4025 | Acc : 0.7960
     Batch 200 | Loss : 0.3871 | Acc : 0.8083
     Batch 225 | Loss : 0.3374 | Acc : 0.8401
     Batch 250 | Loss : 0.4007 | Acc : 0.7902
     Batch 275 | Loss : 0.3600 | Acc : 0.8265
     Batch 300 | Loss : 0.3783 | Acc : 0.8068
Epoch 00005 | Train Loss : 0.3907 | Eval Loss : 0.3732 | Train acc : 0.8086 | Eval Acc : 0.8137
     Batch 000 | Loss : 0.3765 | Acc : 0.8187
     Batch 025 | Loss : 0.3109 | Acc : 0.8572
     Batch 050 | Loss : 0.3794 | Acc : 0.8117
     Batch 075 | Loss : 0.3346 | Acc : 0.8418
     Batch 100 | Loss : 0.4717 | Acc : 0.7623
     Batch 125 | Loss : 0.3816 | Acc : 0.8154
     Batch 150 | Loss : 0.3562 | Acc : 0.8200
     Batch 175 | Loss : 0.3392 | Acc : 0.8310
     Batch 200 | Loss : 0.3537 | Acc : 0.8391
     Batch 225 | Loss : 0.4276 | Acc : 0.7828
     Batch 250 | Loss : 0.3690 | Acc : 0.8180
     Batch 275 | Loss : 0.4729 | Acc : 0.7551
     Batch 300 | Loss : 0.4122 | Acc : 0.7883
Epoch 00006 | Train Loss : 0.3823 | Eval Loss : 0.3860 | Train acc : 0.8116 | Eval Acc : 0.8076
     Batch 000 | Loss : 0.3464 | Acc : 0.8286
     Batch 025 | Loss : 0.3771 | Acc : 0.8087
     Batch 050 | Loss : 0.3419 | Acc : 0.8393
     Batch 075 | Loss : 0.3966 | Acc : 0.7962
     Batch 100 | Loss : 0.3711 | Acc : 0.8120
     Batch 125 | Loss : 0.3690 | Acc : 0.8128
