Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.7875 | Acc : 0.5141
     Batch 025 | Loss : 0.7029 | Acc : 0.5120
     Batch 050 | Loss : 0.6892 | Acc : 0.5420
     Batch 075 | Loss : 0.6894 | Acc : 0.5372
     Batch 100 | Loss : 0.6880 | Acc : 0.5436
     Batch 125 | Loss : 0.6877 | Acc : 0.5472
     Batch 150 | Loss : 0.6897 | Acc : 0.5330
     Batch 175 | Loss : 0.6901 | Acc : 0.5349
     Batch 200 | Loss : 0.6889 | Acc : 0.5367
     Batch 225 | Loss : 0.6863 | Acc : 0.5514
     Batch 250 | Loss : 0.6828 | Acc : 0.5547
     Batch 275 | Loss : 0.6881 | Acc : 0.5375
     Batch 300 | Loss : 0.6836 | Acc : 0.5454
Epoch 00000 | Train Loss : 0.6887 | Eval Loss : 0.6881 | Train acc : 0.5412 | Eval Acc : 0.5382 | Eval Log. Respected : 0.7484
     Batch 000 | Loss : 0.6849 | Acc : 0.5505
     Batch 025 | Loss : 0.6872 | Acc : 0.5424
     Batch 050 | Loss : 0.6863 | Acc : 0.5352
     Batch 075 | Loss : 0.6888 | Acc : 0.5349
     Batch 100 | Loss : 0.6842 | Acc : 0.5466
     Batch 125 | Loss : 0.6840 | Acc : 0.5432
     Batch 150 | Loss : 0.6790 | Acc : 0.5573
     Batch 175 | Loss : 0.6873 | Acc : 0.5347
     Batch 200 | Loss : 0.6826 | Acc : 0.5553
     Batch 225 | Loss : 0.6795 | Acc : 0.5570
     Batch 250 | Loss : 0.6838 | Acc : 0.5364
     Batch 275 | Loss : 0.6875 | Acc : 0.5268
     Batch 300 | Loss : 0.6743 | Acc : 0.5667
Epoch 00001 | Train Loss : 0.6835 | Eval Loss : 0.6892 | Train acc : 0.5457 | Eval Acc : 0.5199 | Eval Log. Respected : 0.3097
     Batch 000 | Loss : 0.6798 | Acc : 0.5478
     Batch 025 | Loss : 0.6785 | Acc : 0.5533
     Batch 050 | Loss : 0.6794 | Acc : 0.5627
     Batch 075 | Loss : 0.6775 | Acc : 0.5600
     Batch 100 | Loss : 0.6827 | Acc : 0.5469
     Batch 125 | Loss : 0.6835 | Acc : 0.5523
     Batch 150 | Loss : 0.6798 | Acc : 0.5574
     Batch 175 | Loss : 0.6792 | Acc : 0.5504
     Batch 200 | Loss : 0.6850 | Acc : 0.5384
     Batch 225 | Loss : 0.6814 | Acc : 0.5604
     Batch 250 | Loss : 0.6738 | Acc : 0.5713
     Batch 275 | Loss : 0.6696 | Acc : 0.5783
     Batch 300 | Loss : 0.6796 | Acc : 0.5661
Epoch 00002 | Train Loss : 0.6813 | Eval Loss : 0.6827 | Train acc : 0.5511 | Eval Acc : 0.5386 | Eval Log. Respected : 0.4504
     Batch 000 | Loss : 0.6856 | Acc : 0.5371
     Batch 025 | Loss : 0.6810 | Acc : 0.5564
     Batch 050 | Loss : 0.6837 | Acc : 0.5486
     Batch 075 | Loss : 0.6799 | Acc : 0.5544
     Batch 100 | Loss : 0.6834 | Acc : 0.5478
     Batch 125 | Loss : 0.6751 | Acc : 0.5590
     Batch 150 | Loss : 0.6839 | Acc : 0.5499
     Batch 175 | Loss : 0.6770 | Acc : 0.5614
     Batch 200 | Loss : 0.6746 | Acc : 0.5702
     Batch 225 | Loss : 0.6720 | Acc : 0.5607
     Batch 250 | Loss : 0.6741 | Acc : 0.5676
     Batch 275 | Loss : 0.6731 | Acc : 0.5560
     Batch 300 | Loss : 0.6769 | Acc : 0.5547
Epoch 00003 | Train Loss : 0.6790 | Eval Loss : 0.6931 | Train acc : 0.5545 | Eval Acc : 0.5366 | Eval Log. Respected : 0.5676
