Done loading data from cached files.
Training ...
     Batch 000 | Loss : 1.2903 | Acc : 0.5144
     Batch 025 | Loss : 0.6870 | Acc : 0.5509
     Batch 050 | Loss : 0.6865 | Acc : 0.5525
     Batch 075 | Loss : 0.6854 | Acc : 0.5479
     Batch 100 | Loss : 0.6864 | Acc : 0.5486
     Batch 125 | Loss : 0.6849 | Acc : 0.5539
     Batch 150 | Loss : 0.6853 | Acc : 0.5527
     Batch 175 | Loss : 0.6806 | Acc : 0.5553
     Batch 200 | Loss : 0.6736 | Acc : 0.5817
     Batch 225 | Loss : 0.6454 | Acc : 0.6221
     Batch 250 | Loss : 0.6515 | Acc : 0.6133
     Batch 275 | Loss : 0.6260 | Acc : 0.6375
     Batch 300 | Loss : 0.6336 | Acc : 0.6282
Epoch 00000 | Train Loss : 0.6721 | Eval Loss : 0.6051 | Train acc : 0.5772 | Eval Acc : 0.6729 | Eval Log. Respected : 0.2803
     Batch 000 | Loss : 0.6383 | Acc : 0.6339
     Batch 025 | Loss : 0.6111 | Acc : 0.6758
     Batch 050 | Loss : 0.5366 | Acc : 0.7478
     Batch 075 | Loss : 0.6357 | Acc : 0.6542
     Batch 100 | Loss : 0.5628 | Acc : 0.7197
     Batch 125 | Loss : 0.5468 | Acc : 0.7343
     Batch 150 | Loss : 0.5421 | Acc : 0.7475
     Batch 175 | Loss : 0.5524 | Acc : 0.7341
     Batch 200 | Loss : 0.5636 | Acc : 0.7369
     Batch 225 | Loss : 0.4969 | Acc : 0.7690
     Batch 250 | Loss : 0.5837 | Acc : 0.6971
     Batch 275 | Loss : 0.5902 | Acc : 0.6726
     Batch 300 | Loss : 0.6163 | Acc : 0.6681
Epoch 00001 | Train Loss : 0.5788 | Eval Loss : 0.5323 | Train acc : 0.6945 | Eval Acc : 0.7294 | Eval Log. Respected : 0.5157
     Batch 000 | Loss : 0.5041 | Acc : 0.7543
     Batch 025 | Loss : 0.5733 | Acc : 0.7138
     Batch 050 | Loss : 0.5244 | Acc : 0.7356
     Batch 075 | Loss : 0.4818 | Acc : 0.7646
     Batch 100 | Loss : 0.4622 | Acc : 0.7848
     Batch 125 | Loss : 0.4613 | Acc : 0.7753
     Batch 150 | Loss : 0.4636 | Acc : 0.7793
     Batch 175 | Loss : 0.5392 | Acc : 0.7287
     Batch 200 | Loss : 0.4490 | Acc : 0.7890
     Batch 225 | Loss : 0.4481 | Acc : 0.7875
     Batch 250 | Loss : 0.4869 | Acc : 0.7658
     Batch 275 | Loss : 0.4763 | Acc : 0.7720
     Batch 300 | Loss : 0.4638 | Acc : 0.7838
Epoch 00002 | Train Loss : 0.5010 | Eval Loss : 0.5151 | Train acc : 0.7541 | Eval Acc : 0.7472 | Eval Log. Respected : 0.5476
     Batch 000 | Loss : 0.6314 | Acc : 0.6774
     Batch 025 | Loss : 0.4668 | Acc : 0.7761
     Batch 050 | Loss : 0.4397 | Acc : 0.7996
     Batch 075 | Loss : 0.4792 | Acc : 0.7693
     Batch 100 | Loss : 0.4735 | Acc : 0.7701
     Batch 125 | Loss : 0.4519 | Acc : 0.7800
     Batch 150 | Loss : 0.4397 | Acc : 0.7951
     Batch 175 | Loss : 0.5049 | Acc : 0.7503
     Batch 200 | Loss : 0.4149 | Acc : 0.8047
     Batch 225 | Loss : 0.5064 | Acc : 0.7459
     Batch 250 | Loss : 0.6013 | Acc : 0.7034
     Batch 275 | Loss : 0.4193 | Acc : 0.8100
     Batch 300 | Loss : 0.4852 | Acc : 0.7635
Epoch 00003 | Train Loss : 0.4681 | Eval Loss : 0.4689 | Train acc : 0.7737 | Eval Acc : 0.7743 | Eval Log. Respected : 0.4850
     Batch 000 | Loss : 0.4150 | Acc : 0.8042
     Batch 025 | Loss : 0.5344 | Acc : 0.7309
     Batch 050 | Loss : 0.4606 | Acc : 0.7822
     Batch 075 | Loss : 0.3989 | Acc : 0.8181
     Batch 100 | Loss : 0.4936 | Acc : 0.7525
     Batch 125 | Loss : 0.5047 | Acc : 0.7418
     Batch 150 | Loss : 0.4673 | Acc : 0.7678
     Batch 175 | Loss : 0.6034 | Acc : 0.6997
     Batch 200 | Loss : 0.4180 | Acc : 0.8067
     Batch 225 | Loss : 0.4485 | Acc : 0.7959
     Batch 250 | Loss : 0.4420 | Acc : 0.7987
     Batch 275 | Loss : 0.4809 | Acc : 0.7651
     Batch 300 | Loss : 0.4296 | Acc : 0.8004
Epoch 00004 | Train Loss : 0.4580 | Eval Loss : 0.4755 | Train acc : 0.7796 | Eval Acc : 0.7708 | Eval Log. Respected : 0.6454
     Batch 000 | Loss : 0.5124 | Acc : 0.7420
     Batch 025 | Loss : 0.4718 | Acc : 0.7653
