Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.7134 | Acc : 0.5108
     Batch 025 | Loss : 0.6884 | Acc : 0.5377
     Batch 050 | Loss : 0.6883 | Acc : 0.5389
     Batch 075 | Loss : 0.6820 | Acc : 0.5627
     Batch 100 | Loss : 0.6830 | Acc : 0.5505
     Batch 125 | Loss : 0.6433 | Acc : 0.6311
     Batch 150 | Loss : 0.6233 | Acc : 0.6555
     Batch 175 | Loss : 0.6408 | Acc : 0.6182
     Batch 200 | Loss : 0.6328 | Acc : 0.6496
     Batch 225 | Loss : 0.6089 | Acc : 0.6430
     Batch 250 | Loss : 0.5812 | Acc : 0.6766
     Batch 275 | Loss : 0.5904 | Acc : 0.6753
     Batch 300 | Loss : 0.5881 | Acc : 0.6645
Epoch 00000 | Train Loss : 0.6391 | Eval Loss : 0.5721 | Train acc : 0.6136 | Eval Acc : 0.6817 | Eval Log. Respected : 0.5526
     Batch 000 | Loss : 0.6180 | Acc : 0.6419
     Batch 025 | Loss : 0.5447 | Acc : 0.7090
     Batch 050 | Loss : 0.6064 | Acc : 0.6415
     Batch 075 | Loss : 0.6163 | Acc : 0.6526
     Batch 100 | Loss : 0.5228 | Acc : 0.7322
     Batch 125 | Loss : 0.5396 | Acc : 0.7198
     Batch 150 | Loss : 0.5742 | Acc : 0.6899
     Batch 175 | Loss : 0.5934 | Acc : 0.6658
     Batch 200 | Loss : 0.5264 | Acc : 0.7312
     Batch 225 | Loss : 0.5250 | Acc : 0.7295
     Batch 250 | Loss : 0.5584 | Acc : 0.6998
     Batch 275 | Loss : 0.5375 | Acc : 0.7058
     Batch 300 | Loss : 0.5414 | Acc : 0.7038
Epoch 00001 | Train Loss : 0.5549 | Eval Loss : 0.5183 | Train acc : 0.7024 | Eval Acc : 0.7316 | Eval Log. Respected : 0.6128
     Batch 000 | Loss : 0.4924 | Acc : 0.7494
     Batch 025 | Loss : 0.5204 | Acc : 0.7386
     Batch 050 | Loss : 0.5410 | Acc : 0.7226
     Batch 075 | Loss : 0.5072 | Acc : 0.7456
     Batch 100 | Loss : 0.6185 | Acc : 0.6549
     Batch 125 | Loss : 0.5526 | Acc : 0.7073
     Batch 150 | Loss : 0.5057 | Acc : 0.7388
     Batch 175 | Loss : 0.4714 | Acc : 0.7773
     Batch 200 | Loss : 0.5486 | Acc : 0.7072
     Batch 225 | Loss : 0.4884 | Acc : 0.7587
     Batch 250 | Loss : 0.4985 | Acc : 0.7432
     Batch 275 | Loss : 0.4960 | Acc : 0.7506
     Batch 300 | Loss : 0.5122 | Acc : 0.7393
Epoch 00002 | Train Loss : 0.5337 | Eval Loss : 0.5585 | Train acc : 0.7223 | Eval Acc : 0.7023 | Eval Log. Respected : 0.4759
     Batch 000 | Loss : 0.6180 | Acc : 0.6645
     Batch 025 | Loss : 0.4660 | Acc : 0.7733
     Batch 050 | Loss : 0.5711 | Acc : 0.7027
     Batch 075 | Loss : 0.5079 | Acc : 0.7373
     Batch 100 | Loss : 0.5129 | Acc : 0.7362
     Batch 125 | Loss : 0.4938 | Acc : 0.7519
     Batch 150 | Loss : 0.4871 | Acc : 0.7705
     Batch 175 | Loss : 0.5383 | Acc : 0.7260
     Batch 200 | Loss : 0.4601 | Acc : 0.7878
     Batch 225 | Loss : 0.5014 | Acc : 0.7426
     Batch 250 | Loss : 0.4090 | Acc : 0.8196
     Batch 275 | Loss : 0.5191 | Acc : 0.7239
     Batch 300 | Loss : 0.5093 | Acc : 0.7358
Epoch 00003 | Train Loss : 0.5021 | Eval Loss : 0.4922 | Train acc : 0.7475 | Eval Acc : 0.7494 | Eval Log. Respected : 0.4668
     Batch 000 | Loss : 0.6204 | Acc : 0.6534
     Batch 025 | Loss : 0.5289 | Acc : 0.7390
     Batch 050 | Loss : 0.4276 | Acc : 0.7967
     Batch 075 | Loss : 0.4831 | Acc : 0.7682
     Batch 100 | Loss : 0.6616 | Acc : 0.6273
     Batch 125 | Loss : 0.4418 | Acc : 0.7885
     Batch 150 | Loss : 0.4282 | Acc : 0.8056
     Batch 175 | Loss : 0.4245 | Acc : 0.8077
     Batch 200 | Loss : 0.4367 | Acc : 0.8056
     Batch 225 | Loss : 0.4731 | Acc : 0.7705
     Batch 250 | Loss : 0.5611 | Acc : 0.7108
     Batch 275 | Loss : 0.5070 | Acc : 0.7454
     Batch 300 | Loss : 0.4731 | Acc : 0.7598
Epoch 00004 | Train Loss : 0.4945 | Eval Loss : 0.5325 | Train acc : 0.7521 | Eval Acc : 0.7270 | Eval Log. Respected : 0.5064
     Batch 000 | Loss : 0.4936 | Acc : 0.7615
     Batch 025 | Loss : 0.4301 | Acc : 0.7938
     Batch 050 | Loss : 0.4460 | Acc : 0.7862
     Batch 075 | Loss : 0.4173 | Acc : 0.8116
     Batch 100 | Loss : 0.5014 | Acc : 0.7483
     Batch 125 | Loss : 0.4646 | Acc : 0.7665
     Batch 150 | Loss : 0.5274 | Acc : 0.7271
     Batch 175 | Loss : 0.4847 | Acc : 0.7579
     Batch 200 | Loss : 0.5610 | Acc : 0.7177
     Batch 225 | Loss : 0.4665 | Acc : 0.7666
     Batch 250 | Loss : 0.5084 | Acc : 0.7422
     Batch 275 | Loss : 0.4996 | Acc : 0.7385
     Batch 300 | Loss : 0.4880 | Acc : 0.7432
Epoch 00005 | Train Loss : 0.4860 | Eval Loss : 0.4739 | Train acc : 0.7565 | Eval Acc : 0.7661 | Eval Log. Respected : 0.5316
     Batch 000 | Loss : 0.4021 | Acc : 0.8136
     Batch 025 | Loss : 0.5218 | Acc : 0.7203
     Batch 050 | Loss : 0.4880 | Acc : 0.7558
     Batch 075 | Loss : 0.5356 | Acc : 0.7072
     Batch 100 | Loss : 0.4874 | Acc : 0.7587
     Batch 125 | Loss : 0.4817 | Acc : 0.7783
     Batch 150 | Loss : 0.5413 | Acc : 0.7052
     Batch 175 | Loss : 0.4163 | Acc : 0.8056
     Batch 200 | Loss : 0.4839 | Acc : 0.7545
     Batch 225 | Loss : 0.4316 | Acc : 0.7967
     Batch 250 | Loss : 0.5795 | Acc : 0.6968
     Batch 275 | Loss : 0.4217 | Acc : 0.7983
     Batch 300 | Loss : 0.4253 | Acc : 0.7884
Epoch 00006 | Train Loss : 0.4828 | Eval Loss : 0.4516 | Train acc : 0.7583 | Eval Acc : 0.7743 | Eval Log. Respected : 0.5691
     Batch 000 | Loss : 0.4531 | Acc : 0.7792
     Batch 025 | Loss : 0.5534 | Acc : 0.7033
     Batch 050 | Loss : 0.4913 | Acc : 0.7692
     Batch 075 | Loss : 0.5043 | Acc : 0.7405
     Batch 100 | Loss : 0.4633 | Acc : 0.7759
     Batch 125 | Loss : 0.4405 | Acc : 0.7838
     Batch 150 | Loss : 0.4998 | Acc : 0.7539
     Batch 175 | Loss : 0.4987 | Acc : 0.7448
     Batch 200 | Loss : 0.3972 | Acc : 0.8165
     Batch 225 | Loss : 0.4347 | Acc : 0.7904
     Batch 250 | Loss : 0.4559 | Acc : 0.7814
     Batch 275 | Loss : 0.4273 | Acc : 0.8097
     Batch 300 | Loss : 0.5527 | Acc : 0.7393
Epoch 00007 | Train Loss : 0.4892 | Eval Loss : 0.5449 | Train acc : 0.7540 | Eval Acc : 0.7176 | Eval Log. Respected : 0.5468
     Batch 000 | Loss : 0.5541 | Acc : 0.7034
     Batch 025 | Loss : 0.3925 | Acc : 0.8259
     Batch 050 | Loss : 0.4688 | Acc : 0.7670
     Batch 075 | Loss : 0.5028 | Acc : 0.7444
     Batch 100 | Loss : 0.4091 | Acc : 0.8092
     Batch 125 | Loss : 0.4838 | Acc : 0.7652
     Batch 150 | Loss : 0.4357 | Acc : 0.7983
     Batch 175 | Loss : 0.5655 | Acc : 0.7226
     Batch 200 | Loss : 0.4551 | Acc : 0.7842
     Batch 225 | Loss : 0.4709 | Acc : 0.7593
     Batch 250 | Loss : 0.4686 | Acc : 0.7624
     Batch 275 | Loss : 0.4132 | Acc : 0.8063
     Batch 300 | Loss : 0.4555 | Acc : 0.7811
Epoch 00008 | Train Loss : 0.4838 | Eval Loss : 0.5489 | Train acc : 0.7578 | Eval Acc : 0.7037 | Eval Log. Respected : 0.7111
     Batch 000 | Loss : 0.5665 | Acc : 0.6733
     Batch 025 | Loss : 0.4557 | Acc : 0.7784
     Batch 050 | Loss : 0.5258 | Acc : 0.7196
     Batch 075 | Loss : 0.3966 | Acc : 0.8174
     Batch 100 | Loss : 0.5295 | Acc : 0.7228
     Batch 125 | Loss : 0.4787 | Acc : 0.7812
     Batch 150 | Loss : 0.4694 | Acc : 0.7631
     Batch 175 | Loss : 0.5270 | Acc : 0.7237
     Batch 200 | Loss : 0.4901 | Acc : 0.7500
     Batch 225 | Loss : 0.4683 | Acc : 0.7631
     Batch 250 | Loss : 0.4530 | Acc : 0.7778
     Batch 275 | Loss : 0.4179 | Acc : 0.8121
     Batch 300 | Loss : 0.4533 | Acc : 0.7651
Epoch 00009 | Train Loss : 0.4789 | Eval Loss : 0.5292 | Train acc : 0.7606 | Eval Acc : 0.7285 | Eval Log. Respected : 0.6312
     Batch 000 | Loss : 0.6015 | Acc : 0.6954
     Batch 025 | Loss : 0.4462 | Acc : 0.7729
     Batch 050 | Loss : 0.4428 | Acc : 0.7841
     Batch 075 | Loss : 0.4946 | Acc : 0.7443
     Batch 100 | Loss : 0.5423 | Acc : 0.7152
     Batch 125 | Loss : 0.4147 | Acc : 0.8058
     Batch 150 | Loss : 0.4378 | Acc : 0.7963
     Batch 175 | Loss : 0.4314 | Acc : 0.7921
     Batch 200 | Loss : 0.4488 | Acc : 0.7819
     Batch 225 | Loss : 0.5027 | Acc : 0.7444
     Batch 250 | Loss : 0.5200 | Acc : 0.7308
     Batch 275 | Loss : 0.4494 | Acc : 0.7779
     Batch 300 | Loss : 0.4641 | Acc : 0.7683
Epoch 00010 | Train Loss : 0.4694 | Eval Loss : 0.4884 | Train acc : 0.7667 | Eval Acc : 0.7486 | Eval Log. Respected : 0.6037
     Batch 000 | Loss : 0.4679 | Acc : 0.7613
     Batch 025 | Loss : 0.4291 | Acc : 0.8024
     Batch 050 | Loss : 0.4618 | Acc : 0.7721
     Batch 075 | Loss : 0.4672 | Acc : 0.7667
     Batch 100 | Loss : 0.5286 | Acc : 0.7190
     Batch 125 | Loss : 0.4610 | Acc : 0.7659
     Batch 150 | Loss : 0.4132 | Acc : 0.7990
     Batch 175 | Loss : 0.4096 | Acc : 0.8100
     Batch 200 | Loss : 0.4500 | Acc : 0.7752
     Batch 225 | Loss : 0.4687 | Acc : 0.7685
     Batch 250 | Loss : 0.4318 | Acc : 0.7962
     Batch 275 | Loss : 0.4460 | Acc : 0.7927
     Batch 300 | Loss : 0.4195 | Acc : 0.8097
Epoch 00011 | Train Loss : 0.4662 | Eval Loss : 0.4570 | Train acc : 0.7686 | Eval Acc : 0.7729 | Eval Log. Respected : 0.4630
     Batch 000 | Loss : 0.4455 | Acc : 0.7802
     Batch 025 | Loss : 0.5240 | Acc : 0.7474
     Batch 050 | Loss : 0.3927 | Acc : 0.8236
     Batch 075 | Loss : 0.3849 | Acc : 0.8253
     Batch 100 | Loss : 0.4761 | Acc : 0.7643
     Batch 125 | Loss : 0.4377 | Acc : 0.7920
     Batch 150 | Loss : 0.4363 | Acc : 0.7852
     Batch 175 | Loss : 0.4595 | Acc : 0.7715
     Batch 200 | Loss : 0.5274 | Acc : 0.7290
     Batch 225 | Loss : 0.4092 | Acc : 0.8133
     Batch 250 | Loss : 0.5341 | Acc : 0.7183
     Batch 275 | Loss : 0.6070 | Acc : 0.6952
     Batch 300 | Loss : 0.5360 | Acc : 0.7113
Epoch 00012 | Train Loss : 0.4721 | Eval Loss : 0.4802 | Train acc : 0.7645 | Eval Acc : 0.7601 | Eval Log. Respected : 0.6084
     Batch 000 | Loss : 0.4581 | Acc : 0.7700
     Batch 025 | Loss : 0.4292 | Acc : 0.7919
     Batch 050 | Loss : 0.4158 | Acc : 0.8036
     Batch 075 | Loss : 0.4531 | Acc : 0.7738
     Batch 100 | Loss : 0.5289 | Acc : 0.7218
     Batch 125 | Loss : 0.5074 | Acc : 0.7524
     Batch 150 | Loss : 0.4042 | Acc : 0.8063
     Batch 175 | Loss : 0.4404 | Acc : 0.7933
     Batch 200 | Loss : 0.5848 | Acc : 0.6976
     Batch 225 | Loss : 0.4601 | Acc : 0.7620
     Batch 250 | Loss : 0.5301 | Acc : 0.7315
     Batch 275 | Loss : 0.5511 | Acc : 0.7135
     Batch 300 | Loss : 0.4794 | Acc : 0.7598
Epoch 00013 | Train Loss : 0.4678 | Eval Loss : 0.4470 | Train acc : 0.7668 | Eval Acc : 0.7789 | Eval Log. Respected : 0.6205
     Batch 000 | Loss : 0.4098 | Acc : 0.8092
     Batch 025 | Loss : 0.4169 | Acc : 0.8035
