Done loading data from cached files.
Training ...
     Batch 000 | Loss : 3.3716 | Acc : 0.5160
     Batch 025 | Loss : 0.6574 | Acc : 0.5216
     Batch 050 | Loss : 0.6171 | Acc : 0.5221
     Batch 075 | Loss : 0.6391 | Acc : 0.5250
     Batch 100 | Loss : 0.5937 | Acc : 0.5407
     Batch 125 | Loss : 0.5650 | Acc : 0.5620
     Batch 150 | Loss : 0.6219 | Acc : 0.5418
     Batch 175 | Loss : 0.6281 | Acc : 0.5517
     Batch 200 | Loss : 0.6239 | Acc : 0.5235
     Batch 225 | Loss : 0.5718 | Acc : 0.5404
     Batch 250 | Loss : 0.5875 | Acc : 0.5289
     Batch 275 | Loss : 0.6341 | Acc : 0.5287
     Batch 300 | Loss : 0.5708 | Acc : 0.5354
Epoch 00000 | Train Loss : 0.7610 | Eval Loss : 0.6024 | Train acc : 0.5376 | Eval Acc : 0.5346
     Batch 000 | Loss : 0.6441 | Acc : 0.5386
     Batch 025 | Loss : 0.6382 | Acc : 0.5438
     Batch 050 | Loss : 0.5746 | Acc : 0.5262
     Batch 075 | Loss : 0.5444 | Acc : 0.5428
     Batch 100 | Loss : 0.5792 | Acc : 0.5655
     Batch 125 | Loss : 0.6089 | Acc : 0.5534
     Batch 150 | Loss : 0.6173 | Acc : 0.5345
     Batch 175 | Loss : 0.6333 | Acc : 0.5477
     Batch 200 | Loss : 0.6134 | Acc : 0.5557
     Batch 225 | Loss : 0.5531 | Acc : 0.5561
     Batch 250 | Loss : 0.6090 | Acc : 0.5316
     Batch 275 | Loss : 0.5506 | Acc : 0.5513
     Batch 300 | Loss : 0.6295 | Acc : 0.5668
Epoch 00001 | Train Loss : 0.6035 | Eval Loss : 0.5999 | Train acc : 0.5444 | Eval Acc : 0.5454
     Batch 000 | Loss : 0.6074 | Acc : 0.5531
     Batch 025 | Loss : 0.6182 | Acc : 0.5382
     Batch 050 | Loss : 0.5997 | Acc : 0.5414
     Batch 075 | Loss : 0.5916 | Acc : 0.5633
     Batch 100 | Loss : 0.5336 | Acc : 0.5828
     Batch 125 | Loss : 0.6158 | Acc : 0.5699
     Batch 150 | Loss : 0.6607 | Acc : 0.5186
     Batch 175 | Loss : 0.6427 | Acc : 0.5312
     Batch 200 | Loss : 0.6301 | Acc : 0.5691
     Batch 225 | Loss : 0.6209 | Acc : 0.5595
     Batch 250 | Loss : 0.5536 | Acc : 0.5506
     Batch 275 | Loss : 0.6071 | Acc : 0.5468
     Batch 300 | Loss : 0.5958 | Acc : 0.5481
