Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.9752 | Acc : 0.5148
     Batch 025 | Loss : 0.6863 | Acc : 0.5436
     Batch 050 | Loss : 0.6856 | Acc : 0.5584
     Batch 075 | Loss : 0.6811 | Acc : 0.5601
     Batch 100 | Loss : 0.6840 | Acc : 0.5565
     Batch 125 | Loss : 0.6692 | Acc : 0.5897
     Batch 150 | Loss : 0.6855 | Acc : 0.5549
     Batch 175 | Loss : 0.6910 | Acc : 0.5564
     Batch 200 | Loss : 0.6857 | Acc : 0.5476
     Batch 225 | Loss : 0.6773 | Acc : 0.6008
     Batch 250 | Loss : 0.6788 | Acc : 0.5670
     Batch 275 | Loss : 0.6778 | Acc : 0.5541
     Batch 300 | Loss : 0.6695 | Acc : 0.5948
Epoch 00000 | Train Loss : 0.6838 | Eval Loss : 0.6712 | Train acc : 0.5572 | Eval Acc : 0.5735
     Batch 000 | Loss : 0.6611 | Acc : 0.5837
     Batch 025 | Loss : 0.6874 | Acc : 0.5544
     Batch 050 | Loss : 0.6492 | Acc : 0.6063
     Batch 075 | Loss : 0.6101 | Acc : 0.6502
     Batch 100 | Loss : 0.6598 | Acc : 0.6010
     Batch 125 | Loss : 0.6641 | Acc : 0.5951
     Batch 150 | Loss : 0.6617 | Acc : 0.6017
     Batch 175 | Loss : 0.6508 | Acc : 0.6057
     Batch 200 | Loss : 0.6502 | Acc : 0.6303
     Batch 225 | Loss : 0.6203 | Acc : 0.6381
     Batch 250 | Loss : 0.5984 | Acc : 0.6824
     Batch 275 | Loss : 0.6261 | Acc : 0.6307
     Batch 300 | Loss : 0.6154 | Acc : 0.6525
Epoch 00001 | Train Loss : 0.6516 | Eval Loss : 0.6366 | Train acc : 0.6063 | Eval Acc : 0.6244
     Batch 000 | Loss : 0.5869 | Acc : 0.6725
     Batch 025 | Loss : 0.6241 | Acc : 0.6451
     Batch 050 | Loss : 0.6677 | Acc : 0.5981
     Batch 075 | Loss : 0.6207 | Acc : 0.6516
     Batch 100 | Loss : 0.5823 | Acc : 0.6742
     Batch 125 | Loss : 0.5539 | Acc : 0.7147
     Batch 150 | Loss : 0.6012 | Acc : 0.6744
     Batch 175 | Loss : 0.5219 | Acc : 0.7381
     Batch 200 | Loss : 0.5675 | Acc : 0.6903
     Batch 225 | Loss : 0.4829 | Acc : 0.7677
     Batch 250 | Loss : 0.5323 | Acc : 0.7270
     Batch 275 | Loss : 0.5180 | Acc : 0.7427
     Batch 300 | Loss : 0.5329 | Acc : 0.7258
Epoch 00002 | Train Loss : 0.5875 | Eval Loss : 0.5706 | Train acc : 0.6785 | Eval Acc : 0.7121
     Batch 000 | Loss : 0.6395 | Acc : 0.6735
     Batch 025 | Loss : 0.5373 | Acc : 0.7176
     Batch 050 | Loss : 0.5547 | Acc : 0.7133
     Batch 075 | Loss : 0.5970 | Acc : 0.6946
     Batch 100 | Loss : 0.5258 | Acc : 0.7417
     Batch 125 | Loss : 0.5231 | Acc : 0.7201
     Batch 150 | Loss : 0.4552 | Acc : 0.7820
     Batch 175 | Loss : 0.5244 | Acc : 0.7233
     Batch 200 | Loss : 0.4507 | Acc : 0.7818
     Batch 225 | Loss : 0.5333 | Acc : 0.7370
     Batch 250 | Loss : 0.4342 | Acc : 0.7931
     Batch 275 | Loss : 0.4274 | Acc : 0.7960
     Batch 300 | Loss : 0.4557 | Acc : 0.7742
Epoch 00003 | Train Loss : 0.5123 | Eval Loss : 0.4805 | Train acc : 0.7412 | Eval Acc : 0.7594
     Batch 000 | Loss : 0.4294 | Acc : 0.8010
     Batch 025 | Loss : 0.4278 | Acc : 0.8016
     Batch 050 | Loss : 0.5562 | Acc : 0.6862
