Done saving data into cached files.
Training ...
     Batch 000 | Loss : 0.6926 | Acc : 0.5166
     Batch 025 | Loss : 0.6910 | Acc : 0.5121
     Batch 050 | Loss : 0.6803 | Acc : 0.5732
     Batch 075 | Loss : 0.6206 | Acc : 0.7081
     Batch 100 | Loss : 0.4771 | Acc : 0.7654
     Batch 125 | Loss : 0.3604 | Acc : 0.8417
     Batch 150 | Loss : 0.4334 | Acc : 0.7929
     Batch 175 | Loss : 0.4766 | Acc : 0.7651
     Batch 200 | Loss : 0.4616 | Acc : 0.7805
     Batch 225 | Loss : 0.4156 | Acc : 0.7998
     Batch 250 | Loss : 0.4262 | Acc : 0.7934
     Batch 275 | Loss : 0.4909 | Acc : 0.7545
     Batch 300 | Loss : 0.3710 | Acc : 0.8291
Epoch 00000 | Train Loss : 0.4925 | Eval Loss : 0.3814 | Train acc : 0.7413 | Eval Acc : 0.8200 | Eval Log. Respected : 0.9942
     Batch 000 | Loss : 0.3479 | Acc : 0.8433
     Batch 025 | Loss : 0.5714 | Acc : 0.7195
     Batch 050 | Loss : 0.4003 | Acc : 0.8080
     Batch 075 | Loss : 0.3827 | Acc : 0.8197
     Batch 100 | Loss : 0.3155 | Acc : 0.8664
     Batch 125 | Loss : 0.4029 | Acc : 0.8096
     Batch 150 | Loss : 0.3598 | Acc : 0.8362
     Batch 175 | Loss : 0.4148 | Acc : 0.7983
     Batch 200 | Loss : 0.3864 | Acc : 0.8271
     Batch 225 | Loss : 0.3560 | Acc : 0.8397
     Batch 250 | Loss : 0.3846 | Acc : 0.8140
     Batch 275 | Loss : 0.4027 | Acc : 0.8069
     Batch 300 | Loss : 0.3867 | Acc : 0.8188
Epoch 00001 | Train Loss : 0.3875 | Eval Loss : 0.3580 | Train acc : 0.8197 | Eval Acc : 0.8344 | Eval Log. Respected : 0.9687
     Batch 000 | Loss : 0.3752 | Acc : 0.8203
     Batch 025 | Loss : 0.3449 | Acc : 0.8436
     Batch 050 | Loss : 0.3835 | Acc : 0.8131
     Batch 075 | Loss : 0.3145 | Acc : 0.8566
     Batch 100 | Loss : 0.3249 | Acc : 0.8497
     Batch 125 | Loss : 0.3305 | Acc : 0.8509
     Batch 150 | Loss : 0.3771 | Acc : 0.8232
     Batch 175 | Loss : 0.3630 | Acc : 0.8305
     Batch 200 | Loss : 0.3664 | Acc : 0.8259
     Batch 225 | Loss : 0.3238 | Acc : 0.8573
     Batch 250 | Loss : 0.3318 | Acc : 0.8501
     Batch 275 | Loss : 0.3195 | Acc : 0.8584
     Batch 300 | Loss : 0.4703 | Acc : 0.7838
Epoch 00002 | Train Loss : 0.3750 | Eval Loss : 0.3636 | Train acc : 0.8265 | Eval Acc : 0.8306 | Eval Log. Respected : 0.9569
     Batch 000 | Loss : 0.4195 | Acc : 0.8037
     Batch 025 | Loss : 0.3517 | Acc : 0.8399
     Batch 050 | Loss : 0.5131 | Acc : 0.7526
     Batch 075 | Loss : 0.4067 | Acc : 0.8059
     Batch 100 | Loss : 0.4246 | Acc : 0.8024
     Batch 125 | Loss : 0.3704 | Acc : 0.8309
     Batch 150 | Loss : 0.4303 | Acc : 0.7955
     Batch 175 | Loss : 0.4416 | Acc : 0.7931
     Batch 200 | Loss : 0.3339 | Acc : 0.8508
     Batch 225 | Loss : 0.3515 | Acc : 0.8438
     Batch 250 | Loss : 0.5653 | Acc : 0.7538
     Batch 275 | Loss : 0.4309 | Acc : 0.7914
     Batch 300 | Loss : 0.3454 | Acc : 0.8445
Epoch 00003 | Train Loss : 0.3685 | Eval Loss : 0.3520 | Train acc : 0.8307 | Eval Acc : 0.8378 | Eval Log. Respected : 0.9450
     Batch 000 | Loss : 0.3144 | Acc : 0.8620
     Batch 025 | Loss : 0.3490 | Acc : 0.8403
     Batch 050 | Loss : 0.5056 | Acc : 0.7681
     Batch 075 | Loss : 0.3245 | Acc : 0.8580
     Batch 100 | Loss : 0.3406 | Acc : 0.8558
     Batch 125 | Loss : 0.3551 | Acc : 0.8372
     Batch 150 | Loss : 0.3848 | Acc : 0.8216
     Batch 175 | Loss : 0.3532 | Acc : 0.8340
     Batch 200 | Loss : 0.3185 | Acc : 0.8602
     Batch 225 | Loss : 0.3007 | Acc : 0.8680
     Batch 250 | Loss : 0.3702 | Acc : 0.8292
     Batch 275 | Loss : 0.3561 | Acc : 0.8411
     Batch 300 | Loss : 0.3951 | Acc : 0.8162
Epoch 00004 | Train Loss : 0.3664 | Eval Loss : 0.3512 | Train acc : 0.8318 | Eval Acc : 0.8395 | Eval Log. Respected : 0.9443
     Batch 000 | Loss : 0.3364 | Acc : 0.8477
     Batch 025 | Loss : 0.3495 | Acc : 0.8332
     Batch 050 | Loss : 0.3357 | Acc : 0.8475
     Batch 075 | Loss : 0.3352 | Acc : 0.8499
     Batch 100 | Loss : 0.4726 | Acc : 0.7700
     Batch 125 | Loss : 0.3332 | Acc : 0.8532
     Batch 150 | Loss : 0.3283 | Acc : 0.8540
     Batch 175 | Loss : 0.3953 | Acc : 0.8093
     Batch 200 | Loss : 0.5483 | Acc : 0.7494
     Batch 225 | Loss : 0.4415 | Acc : 0.7994
     Batch 250 | Loss : 0.2860 | Acc : 0.8807
     Batch 275 | Loss : 0.3480 | Acc : 0.8400
     Batch 300 | Loss : 0.4909 | Acc : 0.7680
Epoch 00005 | Train Loss : 0.3599 | Eval Loss : 0.3421 | Train acc : 0.8353 | Eval Acc : 0.8445 | Eval Log. Respected : 0.9433
     Batch 000 | Loss : 0.4332 | Acc : 0.7975
     Batch 025 | Loss : 0.3826 | Acc : 0.8118
     Batch 050 | Loss : 0.3407 | Acc : 0.8456
     Batch 075 | Loss : 0.3016 | Acc : 0.8611
     Batch 100 | Loss : 0.3227 | Acc : 0.8550
     Batch 125 | Loss : 0.3838 | Acc : 0.8211
     Batch 150 | Loss : 0.3533 | Acc : 0.8359
     Batch 175 | Loss : 0.3485 | Acc : 0.8424
     Batch 200 | Loss : 0.3566 | Acc : 0.8470
     Batch 225 | Loss : 0.4100 | Acc : 0.8123
     Batch 250 | Loss : 0.3623 | Acc : 0.8317
     Batch 275 | Loss : 0.3225 | Acc : 0.8522
     Batch 300 | Loss : 0.2991 | Acc : 0.8717
Epoch 00006 | Train Loss : 0.3584 | Eval Loss : 0.3486 | Train acc : 0.8364 | Eval Acc : 0.8383 | Eval Log. Respected : 0.9724
     Batch 000 | Loss : 0.3463 | Acc : 0.8423
     Batch 025 | Loss : 0.3250 | Acc : 0.8554
     Batch 050 | Loss : 0.3815 | Acc : 0.8233
     Batch 075 | Loss : 0.3763 | Acc : 0.8147
     Batch 100 | Loss : 0.3070 | Acc : 0.8640
     Batch 125 | Loss : 0.3207 | Acc : 0.8638
     Batch 150 | Loss : 0.4001 | Acc : 0.8138
     Batch 175 | Loss : 0.4328 | Acc : 0.7863
     Batch 200 | Loss : 0.3923 | Acc : 0.8160
     Batch 225 | Loss : 0.3528 | Acc : 0.8357
     Batch 250 | Loss : 0.3527 | Acc : 0.8345
     Batch 275 | Loss : 0.4669 | Acc : 0.7821
     Batch 300 | Loss : 0.3061 | Acc : 0.8609
Epoch 00007 | Train Loss : 0.3571 | Eval Loss : 0.3435 | Train acc : 0.8368 | Eval Acc : 0.8427 | Eval Log. Respected : 0.9533
     Batch 000 | Loss : 0.3654 | Acc : 0.8285
     Batch 025 | Loss : 0.3229 | Acc : 0.8599
     Batch 050 | Loss : 0.3195 | Acc : 0.8613
     Batch 075 | Loss : 0.3239 | Acc : 0.8591
     Batch 100 | Loss : 0.2886 | Acc : 0.8719
     Batch 125 | Loss : 0.4572 | Acc : 0.7811
     Batch 150 | Loss : 0.3609 | Acc : 0.8442
     Batch 175 | Loss : 0.3704 | Acc : 0.8251
     Batch 200 | Loss : 0.4371 | Acc : 0.8022
     Batch 225 | Loss : 0.3162 | Acc : 0.8559
     Batch 250 | Loss : 0.3833 | Acc : 0.8235
     Batch 275 | Loss : 0.3393 | Acc : 0.8415
     Batch 300 | Loss : 0.3280 | Acc : 0.8517
Epoch 00008 | Train Loss : 0.3575 | Eval Loss : 0.3390 | Train acc : 0.8371 | Eval Acc : 0.8444 | Eval Log. Respected : 0.9526
     Batch 000 | Loss : 0.3314 | Acc : 0.8523
     Batch 025 | Loss : 0.3232 | Acc : 0.8594
     Batch 050 | Loss : 0.3761 | Acc : 0.8268
     Batch 075 | Loss : 0.4287 | Acc : 0.8073
     Batch 100 | Loss : 0.3542 | Acc : 0.8356
     Batch 125 | Loss : 0.4239 | Acc : 0.8036
     Batch 150 | Loss : 0.3728 | Acc : 0.8245
     Batch 175 | Loss : 0.4487 | Acc : 0.7823
     Batch 200 | Loss : 0.3284 | Acc : 0.8497
     Batch 225 | Loss : 0.3669 | Acc : 0.8303
     Batch 250 | Loss : 0.3440 | Acc : 0.8425
     Batch 275 | Loss : 0.3062 | Acc : 0.8709
     Batch 300 | Loss : 0.3270 | Acc : 0.8518
Epoch 00009 | Train Loss : 0.3575 | Eval Loss : 0.3430 | Train acc : 0.8376 | Eval Acc : 0.8427 | Eval Log. Respected : 0.9615
     Batch 000 | Loss : 0.3282 | Acc : 0.8510
     Batch 025 | Loss : 0.3936 | Acc : 0.8187
     Batch 050 | Loss : 0.3048 | Acc : 0.8600
     Batch 075 | Loss : 0.3048 | Acc : 0.8638
     Batch 100 | Loss : 0.3003 | Acc : 0.8737
     Batch 125 | Loss : 0.3459 | Acc : 0.8439
     Batch 150 | Loss : 0.3218 | Acc : 0.8602
     Batch 175 | Loss : 0.3367 | Acc : 0.8534
     Batch 200 | Loss : 0.3626 | Acc : 0.8387
     Batch 225 | Loss : 0.4411 | Acc : 0.7907
     Batch 250 | Loss : 0.3976 | Acc : 0.8092
     Batch 275 | Loss : 0.3226 | Acc : 0.8563
     Batch 300 | Loss : 0.3335 | Acc : 0.8517
Epoch 00010 | Train Loss : 0.3531 | Eval Loss : 0.3396 | Train acc : 0.8393 | Eval Acc : 0.8454 | Eval Log. Respected : 0.9424
     Batch 000 | Loss : 0.4299 | Acc : 0.8053
     Batch 025 | Loss : 0.3563 | Acc : 0.8359
     Batch 050 | Loss : 0.3889 | Acc : 0.8114
     Batch 075 | Loss : 0.3115 | Acc : 0.8606
     Batch 100 | Loss : 0.3289 | Acc : 0.8571
     Batch 125 | Loss : 0.3837 | Acc : 0.8309
     Batch 150 | Loss : 0.3040 | Acc : 0.8703
     Batch 175 | Loss : 0.3947 | Acc : 0.8071
     Batch 200 | Loss : 0.4224 | Acc : 0.7989
     Batch 225 | Loss : 0.3472 | Acc : 0.8399
     Batch 250 | Loss : 0.3335 | Acc : 0.8488
     Batch 275 | Loss : 0.3431 | Acc : 0.8431
     Batch 300 | Loss : 0.3033 | Acc : 0.8639
Epoch 00011 | Train Loss : 0.3532 | Eval Loss : 0.3367 | Train acc : 0.8396 | Eval Acc : 0.8450 | Eval Log. Respected : 0.9528
     Batch 000 | Loss : 0.2991 | Acc : 0.8643
     Batch 025 | Loss : 0.4509 | Acc : 0.7933
     Batch 050 | Loss : 0.3365 | Acc : 0.8500
     Batch 075 | Loss : 0.3220 | Acc : 0.8533
     Batch 100 | Loss : 0.3256 | Acc : 0.8515
     Batch 125 | Loss : 0.3595 | Acc : 0.8346
     Batch 150 | Loss : 0.3783 | Acc : 0.8220
     Batch 175 | Loss : 0.3106 | Acc : 0.8655
     Batch 200 | Loss : 0.3319 | Acc : 0.8480
     Batch 225 | Loss : 0.4076 | Acc : 0.8077
     Batch 250 | Loss : 0.3414 | Acc : 0.8551
     Batch 275 | Loss : 0.3534 | Acc : 0.8349
     Batch 300 | Loss : 0.3591 | Acc : 0.8320
Epoch 00012 | Train Loss : 0.3514 | Eval Loss : 0.3470 | Train acc : 0.8402 | Eval Acc : 0.8406 | Eval Log. Respected : 0.9498
     Batch 000 | Loss : 0.3589 | Acc : 0.8328
     Batch 025 | Loss : 0.3920 | Acc : 0.8237
     Batch 050 | Loss : 0.2930 | Acc : 0.8757
     Batch 075 | Loss : 0.3144 | Acc : 0.8641
     Batch 100 | Loss : 0.3053 | Acc : 0.8637
     Batch 125 | Loss : 0.3516 | Acc : 0.8357
     Batch 150 | Loss : 0.4027 | Acc : 0.7968
     Batch 175 | Loss : 0.3179 | Acc : 0.8577
     Batch 200 | Loss : 0.3279 | Acc : 0.8545
     Batch 225 | Loss : 0.3172 | Acc : 0.8663
     Batch 250 | Loss : 0.3744 | Acc : 0.8208
     Batch 275 | Loss : 0.4600 | Acc : 0.7835
     Batch 300 | Loss : 0.3497 | Acc : 0.8395
Epoch 00013 | Train Loss : 0.3510 | Eval Loss : 0.3426 | Train acc : 0.8406 | Eval Acc : 0.8424 | Eval Log. Respected : 0.9577
     Batch 000 | Loss : 0.3067 | Acc : 0.8698
     Batch 025 | Loss : 0.3114 | Acc : 0.8657
     Batch 050 | Loss : 0.3230 | Acc : 0.8525
     Batch 075 | Loss : 0.3549 | Acc : 0.8389
     Batch 100 | Loss : 0.3543 | Acc : 0.8408
     Batch 125 | Loss : 0.3457 | Acc : 0.8379
     Batch 150 | Loss : 0.3447 | Acc : 0.8440
     Batch 175 | Loss : 0.2835 | Acc : 0.8788
     Batch 200 | Loss : 0.3039 | Acc : 0.8784
     Batch 225 | Loss : 0.3299 | Acc : 0.8502
     Batch 250 | Loss : 0.3109 | Acc : 0.8613
     Batch 275 | Loss : 0.3026 | Acc : 0.8654
     Batch 300 | Loss : 0.2858 | Acc : 0.8760
Epoch 00014 | Train Loss : 0.3493 | Eval Loss : 0.3392 | Train acc : 0.8412 | Eval Acc : 0.8458 | Eval Log. Respected : 0.9486
     Batch 000 | Loss : 0.3435 | Acc : 0.8431
     Batch 025 | Loss : 0.3415 | Acc : 0.8455
     Batch 050 | Loss : 0.2945 | Acc : 0.8704
     Batch 075 | Loss : 0.3141 | Acc : 0.8636
     Batch 100 | Loss : 0.3485 | Acc : 0.8522
     Batch 125 | Loss : 0.4362 | Acc : 0.7993
     Batch 150 | Loss : 0.3300 | Acc : 0.8512
     Batch 175 | Loss : 0.2899 | Acc : 0.8744
     Batch 200 | Loss : 0.3259 | Acc : 0.8553
     Batch 225 | Loss : 0.3763 | Acc : 0.8240
     Batch 250 | Loss : 0.3204 | Acc : 0.8531
     Batch 275 | Loss : 0.3877 | Acc : 0.8163
     Batch 300 | Loss : 0.3124 | Acc : 0.8598
Epoch 00015 | Train Loss : 0.3492 | Eval Loss : 0.3361 | Train acc : 0.8415 | Eval Acc : 0.8450 | Eval Log. Respected : 0.9469
     Batch 000 | Loss : 0.3680 | Acc : 0.8309
     Batch 025 | Loss : 0.3772 | Acc : 0.8281
     Batch 050 | Loss : 0.4072 | Acc : 0.8075
     Batch 075 | Loss : 0.3260 | Acc : 0.8486
     Batch 100 | Loss : 0.3089 | Acc : 0.8605
     Batch 125 | Loss : 0.3536 | Acc : 0.8378
     Batch 150 | Loss : 0.2901 | Acc : 0.8786
     Batch 175 | Loss : 0.3102 | Acc : 0.8606
     Batch 200 | Loss : 0.3108 | Acc : 0.8634
     Batch 225 | Loss : 0.2994 | Acc : 0.8686
     Batch 250 | Loss : 0.3376 | Acc : 0.8475
     Batch 275 | Loss : 0.2950 | Acc : 0.8728
     Batch 300 | Loss : 0.3357 | Acc : 0.8498
Epoch 00016 | Train Loss : 0.3483 | Eval Loss : 0.3373 | Train acc : 0.8418 | Eval Acc : 0.8482 | Eval Log. Respected : 0.9410
     Batch 000 | Loss : 0.3735 | Acc : 0.8245
     Batch 025 | Loss : 0.3091 | Acc : 0.8611
     Batch 050 | Loss : 0.3080 | Acc : 0.8651
     Batch 075 | Loss : 0.3174 | Acc : 0.8647
     Batch 100 | Loss : 0.3484 | Acc : 0.8471
     Batch 125 | Loss : 0.3613 | Acc : 0.8330
     Batch 150 | Loss : 0.3383 | Acc : 0.8480
     Batch 175 | Loss : 0.4173 | Acc : 0.8101
     Batch 200 | Loss : 0.3456 | Acc : 0.8404
     Batch 225 | Loss : 0.3180 | Acc : 0.8566
     Batch 250 | Loss : 0.3020 | Acc : 0.8652
     Batch 275 | Loss : 0.3488 | Acc : 0.8417
     Batch 300 | Loss : 0.3417 | Acc : 0.8483
Epoch 00017 | Train Loss : 0.3477 | Eval Loss : 0.3334 | Train acc : 0.8422 | Eval Acc : 0.8473 | Eval Log. Respected : 0.9539
     Batch 000 | Loss : 0.3083 | Acc : 0.8650
     Batch 025 | Loss : 0.3678 | Acc : 0.8313
     Batch 050 | Loss : 0.3307 | Acc : 0.8484
     Batch 075 | Loss : 0.3282 | Acc : 0.8559
     Batch 100 | Loss : 0.3282 | Acc : 0.8514
     Batch 125 | Loss : 0.3635 | Acc : 0.8391
     Batch 150 | Loss : 0.3636 | Acc : 0.8322
     Batch 175 | Loss : 0.3415 | Acc : 0.8496
     Batch 200 | Loss : 0.3202 | Acc : 0.8543
     Batch 225 | Loss : 0.3643 | Acc : 0.8273
     Batch 250 | Loss : 0.3577 | Acc : 0.8356
     Batch 275 | Loss : 0.3519 | Acc : 0.8422
     Batch 300 | Loss : 0.3343 | Acc : 0.8476
Epoch 00018 | Train Loss : 0.3477 | Eval Loss : 0.3339 | Train acc : 0.8420 | Eval Acc : 0.8472 | Eval Log. Respected : 0.9355
     Batch 000 | Loss : 0.2874 | Acc : 0.8800
     Batch 025 | Loss : 0.4298 | Acc : 0.7979
     Batch 050 | Loss : 0.3322 | Acc : 0.8458
     Batch 075 | Loss : 0.3702 | Acc : 0.8253
     Batch 100 | Loss : 0.4367 | Acc : 0.7858
     Batch 125 | Loss : 0.3797 | Acc : 0.8258
