Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.6938 | Acc : 0.5172
     Batch 025 | Loss : 0.6923 | Acc : 0.5139
     Batch 050 | Loss : 0.6814 | Acc : 0.5851
     Batch 075 | Loss : 0.6434 | Acc : 0.5990
     Batch 100 | Loss : 0.6201 | Acc : 0.6048
     Batch 125 | Loss : 0.6093 | Acc : 0.6149
     Batch 150 | Loss : 0.6155 | Acc : 0.6123
     Batch 175 | Loss : 0.6175 | Acc : 0.6136
     Batch 200 | Loss : 0.5940 | Acc : 0.6254
     Batch 225 | Loss : 0.6350 | Acc : 0.6182
     Batch 250 | Loss : 0.5913 | Acc : 0.6801
     Batch 275 | Loss : 0.4643 | Acc : 0.7542
     Batch 300 | Loss : 0.4875 | Acc : 0.7527
Epoch 00000 | Train Loss : 0.6058 | Eval Loss : 0.5023 | Train acc : 0.6260 | Eval Acc : 0.7287 | Eval Log. Respected : 0.9862
     Batch 000 | Loss : 0.5815 | Acc : 0.6865
     Batch 025 | Loss : 0.4558 | Acc : 0.7873
     Batch 050 | Loss : 0.4536 | Acc : 0.7589
     Batch 075 | Loss : 0.4629 | Acc : 0.7674
     Batch 100 | Loss : 0.4920 | Acc : 0.7391
     Batch 125 | Loss : 0.5813 | Acc : 0.7147
     Batch 150 | Loss : 0.5240 | Acc : 0.7381
     Batch 175 | Loss : 0.4413 | Acc : 0.8265
     Batch 200 | Loss : 0.5201 | Acc : 0.7202
     Batch 225 | Loss : 0.4412 | Acc : 0.7944
     Batch 250 | Loss : 0.4974 | Acc : 0.7426
     Batch 275 | Loss : 0.5236 | Acc : 0.7264
     Batch 300 | Loss : 0.4774 | Acc : 0.7635
Epoch 00001 | Train Loss : 0.4901 | Eval Loss : 0.4629 | Train acc : 0.7540 | Eval Acc : 0.7750 | Eval Log. Respected : 0.9776
     Batch 000 | Loss : 0.4467 | Acc : 0.7918
     Batch 025 | Loss : 0.4934 | Acc : 0.7509
     Batch 050 | Loss : 0.4651 | Acc : 0.7766
     Batch 075 | Loss : 0.4457 | Acc : 0.7883
     Batch 100 | Loss : 0.5721 | Acc : 0.6786
     Batch 125 | Loss : 0.4486 | Acc : 0.7752
     Batch 150 | Loss : 0.4296 | Acc : 0.7950
     Batch 175 | Loss : 0.4683 | Acc : 0.7809
     Batch 200 | Loss : 0.4916 | Acc : 0.7403
     Batch 225 | Loss : 0.4268 | Acc : 0.7921
     Batch 250 | Loss : 0.4281 | Acc : 0.8361
     Batch 275 | Loss : 0.4002 | Acc : 0.8201
     Batch 300 | Loss : 0.4879 | Acc : 0.7605
Epoch 00002 | Train Loss : 0.4646 | Eval Loss : 0.4523 | Train acc : 0.7765 | Eval Acc : 0.7854 | Eval Log. Respected : 0.9708
     Batch 000 | Loss : 0.5102 | Acc : 0.7467
     Batch 025 | Loss : 0.4490 | Acc : 0.7877
     Batch 050 | Loss : 0.4729 | Acc : 0.7715
     Batch 075 | Loss : 0.3902 | Acc : 0.8219
     Batch 100 | Loss : 0.4856 | Acc : 0.7706
     Batch 125 | Loss : 0.4685 | Acc : 0.7686
     Batch 150 | Loss : 0.4079 | Acc : 0.8109
     Batch 175 | Loss : 0.3645 | Acc : 0.8389
     Batch 200 | Loss : 0.4892 | Acc : 0.7624
     Batch 225 | Loss : 0.3443 | Acc : 0.8561
     Batch 250 | Loss : 0.3985 | Acc : 0.8149
     Batch 275 | Loss : 0.3879 | Acc : 0.8139
     Batch 300 | Loss : 0.3636 | Acc : 0.8399
Epoch 00003 | Train Loss : 0.4335 | Eval Loss : 0.4172 | Train acc : 0.7977 | Eval Acc : 0.8021 | Eval Log. Respected : 0.9392
     Batch 000 | Loss : 0.3786 | Acc : 0.8304
     Batch 025 | Loss : 0.3538 | Acc : 0.8625
     Batch 050 | Loss : 0.3246 | Acc : 0.8585
     Batch 075 | Loss : 0.3586 | Acc : 0.8464
     Batch 100 | Loss : 0.3349 | Acc : 0.8606
     Batch 125 | Loss : 0.3627 | Acc : 0.8394
     Batch 150 | Loss : 0.5259 | Acc : 0.7477
     Batch 175 | Loss : 0.4238 | Acc : 0.8086
     Batch 200 | Loss : 0.4104 | Acc : 0.7973
     Batch 225 | Loss : 0.3619 | Acc : 0.8345
     Batch 250 | Loss : 0.3137 | Acc : 0.8671
     Batch 275 | Loss : 0.3664 | Acc : 0.8333
     Batch 300 | Loss : 0.3444 | Acc : 0.8515
Epoch 00004 | Train Loss : 0.4003 | Eval Loss : 0.3931 | Train acc : 0.8150 | Eval Acc : 0.8139 | Eval Log. Respected : 0.9626
     Batch 000 | Loss : 0.3515 | Acc : 0.8430
     Batch 025 | Loss : 0.3488 | Acc : 0.8394
     Batch 050 | Loss : 0.4002 | Acc : 0.8092
     Batch 075 | Loss : 0.3260 | Acc : 0.8599
     Batch 100 | Loss : 0.3302 | Acc : 0.8617
     Batch 125 | Loss : 0.3869 | Acc : 0.8158
     Batch 150 | Loss : 0.3831 | Acc : 0.8267
     Batch 175 | Loss : 0.3764 | Acc : 0.8282
     Batch 200 | Loss : 0.3529 | Acc : 0.8421
     Batch 225 | Loss : 0.3506 | Acc : 0.8487
     Batch 250 | Loss : 0.4089 | Acc : 0.8033
     Batch 275 | Loss : 0.3391 | Acc : 0.8490
     Batch 300 | Loss : 0.3584 | Acc : 0.8381
Epoch 00005 | Train Loss : 0.3851 | Eval Loss : 0.3965 | Train acc : 0.8220 | Eval Acc : 0.8147 | Eval Log. Respected : 0.9739
     Batch 000 | Loss : 0.4358 | Acc : 0.7971
     Batch 025 | Loss : 0.3564 | Acc : 0.8439
     Batch 050 | Loss : 0.3858 | Acc : 0.8208
     Batch 075 | Loss : 0.4660 | Acc : 0.7716
     Batch 100 | Loss : 0.4099 | Acc : 0.8049
     Batch 125 | Loss : 0.3332 | Acc : 0.8519
