cuda is available
USING : cuda
Done loading data from cached files.
Training ...
     Batch 000 | Loss : 0.7018 | Acc : 0.4869
     Batch 005 | Loss : 0.6997 | Acc : 0.4872
     Batch 010 | Loss : 0.6982 | Acc : 0.4863
     Batch 015 | Loss : 0.6966 | Acc : 0.4884
     Batch 020 | Loss : 0.6956 | Acc : 0.4871
     Batch 025 | Loss : 0.6940 | Acc : 0.4847
     Batch 030 | Loss : 0.6932 | Acc : 0.5135
     Batch 035 | Loss : 0.6928 | Acc : 0.5125
     Batch 040 | Loss : 0.6929 | Acc : 0.5135
     Batch 045 | Loss : 0.6926 | Acc : 0.5144
     Batch 050 | Loss : 0.6923 | Acc : 0.5134
     Batch 055 | Loss : 0.6912 | Acc : 0.5138
     Batch 060 | Loss : 0.6846 | Acc : 0.5129
     Batch 065 | Loss : 0.6508 | Acc : 0.5122
     Batch 070 | Loss : 0.6828 | Acc : 0.5117
     Batch 075 | Loss : 0.6252 | Acc : 0.6756
     Batch 080 | Loss : 0.5685 | Acc : 0.7712
     Batch 085 | Loss : 0.5505 | Acc : 0.7809
     Batch 090 | Loss : 0.5435 | Acc : 0.7760
     Batch 095 | Loss : 0.5055 | Acc : 0.8129
     Batch 100 | Loss : 0.5155 | Acc : 0.7901
     Batch 105 | Loss : 0.4825 | Acc : 0.7879
     Batch 110 | Loss : 0.4311 | Acc : 0.7936
     Batch 115 | Loss : 0.4563 | Acc : 0.7763
     Batch 120 | Loss : 0.4075 | Acc : 0.7964
     Batch 125 | Loss : 0.3726 | Acc : 0.8319
     Batch 130 | Loss : 0.4476 | Acc : 0.7856
     Batch 135 | Loss : 0.4774 | Acc : 0.7698
     Batch 140 | Loss : 0.4619 | Acc : 0.7735
     Batch 145 | Loss : 0.4673 | Acc : 0.7944
     Batch 150 | Loss : 0.4143 | Acc : 0.8072
Epoch 00000 | Train Loss : 0.5804 | Eval Loss : 0.4212 | Train acc : 0.6524 | Eval Acc : 0.7961 | Eval Log. Respected : 0.9996
     Batch 000 | Loss : 0.3922 | Acc : 0.8183
     Batch 005 | Loss : 0.4396 | Acc : 0.7879
     Batch 010 | Loss : 0.3691 | Acc : 0.8319
     Batch 015 | Loss : 0.3956 | Acc : 0.8117
     Batch 020 | Loss : 0.3818 | Acc : 0.8150
     Batch 025 | Loss : 0.3879 | Acc : 0.8136
     Batch 030 | Loss : 0.3747 | Acc : 0.8321
     Batch 035 | Loss : 0.4395 | Acc : 0.7854
     Batch 040 | Loss : 0.3880 | Acc : 0.8179
     Batch 045 | Loss : 0.5120 | Acc : 0.7641
     Batch 050 | Loss : 0.4045 | Acc : 0.8076
     Batch 055 | Loss : 0.4314 | Acc : 0.7932
     Batch 060 | Loss : 0.4402 | Acc : 0.7892
     Batch 065 | Loss : 0.3553 | Acc : 0.8374
     Batch 070 | Loss : 0.4043 | Acc : 0.8090
     Batch 075 | Loss : 0.4200 | Acc : 0.7969
     Batch 080 | Loss : 0.4224 | Acc : 0.8084
     Batch 085 | Loss : 0.4054 | Acc : 0.8085
     Batch 090 | Loss : 0.3768 | Acc : 0.8235
     Batch 095 | Loss : 0.4142 | Acc : 0.8109
     Batch 100 | Loss : 0.4238 | Acc : 0.7990
     Batch 105 | Loss : 0.3891 | Acc : 0.8144
     Batch 110 | Loss : 0.3745 | Acc : 0.8275
     Batch 115 | Loss : 0.3655 | Acc : 0.8298
     Batch 120 | Loss : 0.4161 | Acc : 0.7981
     Batch 125 | Loss : 0.3348 | Acc : 0.8534
     Batch 130 | Loss : 0.3874 | Acc : 0.8246
     Batch 135 | Loss : 0.4243 | Acc : 0.7956
     Batch 140 | Loss : 0.3464 | Acc : 0.8436
     Batch 145 | Loss : 0.4112 | Acc : 0.8033
     Batch 150 | Loss : 0.3444 | Acc : 0.8381
Epoch 00001 | Train Loss : 0.3962 | Eval Loss : 0.3876 | Train acc : 0.8148 | Eval Acc : 0.8182 | Eval Log. Respected : 0.9695
     Batch 000 | Loss : 0.4583 | Acc : 0.7937
     Batch 005 | Loss : 0.3722 | Acc : 0.8336
     Batch 010 | Loss : 0.4023 | Acc : 0.8073
     Batch 015 | Loss : 0.3696 | Acc : 0.8272
     Batch 020 | Loss : 0.3843 | Acc : 0.8185
     Batch 025 | Loss : 0.4182 | Acc : 0.7976
     Batch 030 | Loss : 0.4332 | Acc : 0.7981
     Batch 035 | Loss : 0.4153 | Acc : 0.8004
     Batch 040 | Loss : 0.4101 | Acc : 0.8095
     Batch 045 | Loss : 0.3877 | Acc : 0.8230
     Batch 050 | Loss : 0.3511 | Acc : 0.8378
     Batch 055 | Loss : 0.4047 | Acc : 0.8114
     Batch 060 | Loss : 0.3970 | Acc : 0.8104
     Batch 065 | Loss : 0.3550 | Acc : 0.8425
     Batch 070 | Loss : 0.3528 | Acc : 0.8372
     Batch 075 | Loss : 0.3794 | Acc : 0.8282
     Batch 080 | Loss : 0.3536 | Acc : 0.8402
     Batch 085 | Loss : 0.3332 | Acc : 0.8530
     Batch 090 | Loss : 0.3683 | Acc : 0.8401
     Batch 095 | Loss : 0.3345 | Acc : 0.8487
     Batch 100 | Loss : 0.3635 | Acc : 0.8316
     Batch 105 | Loss : 0.3545 | Acc : 0.8351
     Batch 110 | Loss : 0.4419 | Acc : 0.7914
     Batch 115 | Loss : 0.3715 | Acc : 0.8319
     Batch 120 | Loss : 0.3888 | Acc : 0.8238
     Batch 125 | Loss : 0.3465 | Acc : 0.8409
     Batch 130 | Loss : 0.3804 | Acc : 0.8213
     Batch 135 | Loss : 0.3337 | Acc : 0.8494
     Batch 140 | Loss : 0.3729 | Acc : 0.8274
     Batch 145 | Loss : 0.3902 | Acc : 0.8151
     Batch 150 | Loss : 0.2961 | Acc : 0.8735
Epoch 00002 | Train Loss : 0.3763 | Eval Loss : 0.3672 | Train acc : 0.8268 | Eval Acc : 0.8272 | Eval Log. Respected : 0.9812
     Batch 000 | Loss : 0.3264 | Acc : 0.8542
     Batch 005 | Loss : 0.4317 | Acc : 0.8010
     Batch 010 | Loss : 0.3851 | Acc : 0.8299
     Batch 015 | Loss : 0.3476 | Acc : 0.8402
     Batch 020 | Loss : 0.3461 | Acc : 0.8377
     Batch 025 | Loss : 0.4332 | Acc : 0.8111
     Batch 030 | Loss : 0.3282 | Acc : 0.8540
     Batch 035 | Loss : 0.3367 | Acc : 0.8486
     Batch 040 | Loss : 0.3792 | Acc : 0.8280
     Batch 045 | Loss : 0.4064 | Acc : 0.8127
     Batch 050 | Loss : 0.3453 | Acc : 0.8396
     Batch 055 | Loss : 0.3761 | Acc : 0.8307
     Batch 060 | Loss : 0.4158 | Acc : 0.7998
     Batch 065 | Loss : 0.3690 | Acc : 0.8358
     Batch 070 | Loss : 0.4010 | Acc : 0.8151
     Batch 075 | Loss : 0.3849 | Acc : 0.8188
     Batch 080 | Loss : 0.3411 | Acc : 0.8515
     Batch 085 | Loss : 0.4105 | Acc : 0.8131
     Batch 090 | Loss : 0.4119 | Acc : 0.8114
     Batch 095 | Loss : 0.3902 | Acc : 0.8166
     Batch 100 | Loss : 0.3454 | Acc : 0.8410
     Batch 105 | Loss : 0.3249 | Acc : 0.8520
     Batch 110 | Loss : 0.3918 | Acc : 0.8159
     Batch 115 | Loss : 0.3266 | Acc : 0.8528
     Batch 120 | Loss : 0.4986 | Acc : 0.7832
     Batch 125 | Loss : 0.3461 | Acc : 0.8446
     Batch 130 | Loss : 0.3480 | Acc : 0.8403
     Batch 135 | Loss : 0.4587 | Acc : 0.7833
     Batch 140 | Loss : 0.3545 | Acc : 0.8444
     Batch 145 | Loss : 0.3525 | Acc : 0.8481
     Batch 150 | Loss : 0.3430 | Acc : 0.8432
Epoch 00003 | Train Loss : 0.3742 | Eval Loss : 0.3663 | Train acc : 0.8292 | Eval Acc : 0.8284 | Eval Log. Respected : 0.9784
     Batch 000 | Loss : 0.3443 | Acc : 0.8455
     Batch 005 | Loss : 0.3475 | Acc : 0.8470
     Batch 010 | Loss : 0.3589 | Acc : 0.8339
     Batch 015 | Loss : 0.4008 | Acc : 0.8126
     Batch 020 | Loss : 0.3425 | Acc : 0.8494
     Batch 025 | Loss : 0.3670 | Acc : 0.8331
     Batch 030 | Loss : 0.3348 | Acc : 0.8472
     Batch 035 | Loss : 0.3337 | Acc : 0.8528
     Batch 040 | Loss : 0.3842 | Acc : 0.8256
     Batch 045 | Loss : 0.4091 | Acc : 0.8003
     Batch 050 | Loss : 0.3612 | Acc : 0.8323
     Batch 055 | Loss : 0.3681 | Acc : 0.8289
     Batch 060 | Loss : 0.4442 | Acc : 0.7945
     Batch 065 | Loss : 0.3481 | Acc : 0.8423
     Batch 070 | Loss : 0.4575 | Acc : 0.7974
     Batch 075 | Loss : 0.3686 | Acc : 0.8306
     Batch 080 | Loss : 0.3513 | Acc : 0.8459
     Batch 085 | Loss : 0.3578 | Acc : 0.8365
     Batch 090 | Loss : 0.3774 | Acc : 0.8271
     Batch 095 | Loss : 0.4083 | Acc : 0.8077
     Batch 100 | Loss : 0.3728 | Acc : 0.8286
     Batch 105 | Loss : 0.3657 | Acc : 0.8307
     Batch 110 | Loss : 0.4085 | Acc : 0.8197
     Batch 115 | Loss : 0.3739 | Acc : 0.8264
     Batch 120 | Loss : 0.3257 | Acc : 0.8599
