cuda is available
USING : cuda
Done saving data into cached files.
Training ...
     Batch 000 | Loss : 0.6928 | Acc : 0.5148
     Batch 005 | Loss : 0.6928 | Acc : 0.5124
     Batch 010 | Loss : 0.6928 | Acc : 0.5129
     Batch 015 | Loss : 0.6927 | Acc : 0.5156
     Batch 020 | Loss : 0.6928 | Acc : 0.5138
     Batch 025 | Loss : 0.6927 | Acc : 0.5143
     Batch 030 | Loss : 0.6928 | Acc : 0.5138
     Batch 035 | Loss : 0.6928 | Acc : 0.5124
     Batch 040 | Loss : 0.6928 | Acc : 0.5125
     Batch 045 | Loss : 0.6929 | Acc : 0.5121
     Batch 050 | Loss : 0.6928 | Acc : 0.5121
     Batch 055 | Loss : 0.6928 | Acc : 0.5124
     Batch 060 | Loss : 0.6925 | Acc : 0.5136
     Batch 065 | Loss : 0.6918 | Acc : 0.5103
     Batch 070 | Loss : 0.6887 | Acc : 0.5146
     Batch 075 | Loss : 0.6837 | Acc : 0.5134
     Batch 080 | Loss : 0.6743 | Acc : 0.7317
     Batch 085 | Loss : 0.6503 | Acc : 0.7577
     Batch 090 | Loss : 0.5781 | Acc : 0.7566
     Batch 095 | Loss : 0.5411 | Acc : 0.7544
     Batch 100 | Loss : 0.4965 | Acc : 0.7576
     Batch 105 | Loss : 0.4795 | Acc : 0.7801
     Batch 110 | Loss : 0.4723 | Acc : 0.7792
     Batch 115 | Loss : 0.4963 | Acc : 0.7552
     Batch 120 | Loss : 0.4360 | Acc : 0.7888
     Batch 125 | Loss : 0.4026 | Acc : 0.8140
     Batch 130 | Loss : 0.4196 | Acc : 0.8017
     Batch 135 | Loss : 0.4476 | Acc : 0.7828
     Batch 140 | Loss : 0.4536 | Acc : 0.7871
     Batch 145 | Loss : 0.5348 | Acc : 0.7530
     Batch 150 | Loss : 0.4719 | Acc : 0.7705
Epoch 00000 | Train Loss : 0.5934 | Eval Loss : 0.4277 | Train acc : 0.6436 | Eval Acc : 0.7921 | Eval Log. Respected : 0.9374
     Batch 000 | Loss : 0.4020 | Acc : 0.8101
     Batch 005 | Loss : 0.3800 | Acc : 0.8205
     Batch 010 | Loss : 0.4083 | Acc : 0.8108
     Batch 015 | Loss : 0.4331 | Acc : 0.7878
     Batch 020 | Loss : 0.4076 | Acc : 0.8069
     Batch 025 | Loss : 0.4080 | Acc : 0.8079
     Batch 030 | Loss : 0.3879 | Acc : 0.8119
     Batch 035 | Loss : 0.3935 | Acc : 0.8107
     Batch 040 | Loss : 0.4536 | Acc : 0.7705
     Batch 045 | Loss : 0.3931 | Acc : 0.8094
     Batch 050 | Loss : 0.3961 | Acc : 0.8143
     Batch 055 | Loss : 0.4080 | Acc : 0.8061
     Batch 060 | Loss : 0.4156 | Acc : 0.8020
     Batch 065 | Loss : 0.4190 | Acc : 0.7931
     Batch 070 | Loss : 0.4341 | Acc : 0.7902
     Batch 075 | Loss : 0.4184 | Acc : 0.7942
     Batch 080 | Loss : 0.4580 | Acc : 0.7746
     Batch 085 | Loss : 0.3928 | Acc : 0.8173
     Batch 090 | Loss : 0.4319 | Acc : 0.7925
     Batch 095 | Loss : 0.4030 | Acc : 0.8054
     Batch 100 | Loss : 0.3703 | Acc : 0.8266
     Batch 105 | Loss : 0.3685 | Acc : 0.8257
     Batch 110 | Loss : 0.4024 | Acc : 0.8064
     Batch 115 | Loss : 0.3953 | Acc : 0.8137
     Batch 120 | Loss : 0.3766 | Acc : 0.8177
     Batch 125 | Loss : 0.3660 | Acc : 0.8271
     Batch 130 | Loss : 0.4237 | Acc : 0.7917
     Batch 135 | Loss : 0.3963 | Acc : 0.8088
     Batch 140 | Loss : 0.3891 | Acc : 0.8183
     Batch 145 | Loss : 0.4212 | Acc : 0.7919
     Batch 150 | Loss : 0.4713 | Acc : 0.7798
Epoch 00001 | Train Loss : 0.4086 | Eval Loss : 0.3948 | Train acc : 0.8048 | Eval Acc : 0.8090 | Eval Log. Respected : 0.9328
     Batch 000 | Loss : 0.4101 | Acc : 0.7956
     Batch 005 | Loss : 0.4167 | Acc : 0.7958
     Batch 010 | Loss : 0.3981 | Acc : 0.8127
     Batch 015 | Loss : 0.3471 | Acc : 0.8377
     Batch 020 | Loss : 0.3988 | Acc : 0.8179
     Batch 025 | Loss : 0.3799 | Acc : 0.8294
     Batch 030 | Loss : 0.3948 | Acc : 0.8101
     Batch 035 | Loss : 0.3363 | Acc : 0.8460
     Batch 040 | Loss : 0.3676 | Acc : 0.8283
     Batch 045 | Loss : 0.4235 | Acc : 0.7974
     Batch 050 | Loss : 0.4681 | Acc : 0.7750
     Batch 055 | Loss : 0.4128 | Acc : 0.7998
     Batch 060 | Loss : 0.3580 | Acc : 0.8362
     Batch 065 | Loss : 0.4355 | Acc : 0.7964
     Batch 070 | Loss : 0.4024 | Acc : 0.8125
     Batch 075 | Loss : 0.3798 | Acc : 0.8199
     Batch 080 | Loss : 0.3998 | Acc : 0.8047
     Batch 085 | Loss : 0.4128 | Acc : 0.8026
     Batch 090 | Loss : 0.3669 | Acc : 0.8292
     Batch 095 | Loss : 0.3670 | Acc : 0.8263
     Batch 100 | Loss : 0.4021 | Acc : 0.8089
     Batch 105 | Loss : 0.4297 | Acc : 0.7896
     Batch 110 | Loss : 0.3474 | Acc : 0.8529
     Batch 115 | Loss : 0.3954 | Acc : 0.8130
     Batch 120 | Loss : 0.3806 | Acc : 0.8215
     Batch 125 | Loss : 0.3760 | Acc : 0.8237
     Batch 130 | Loss : 0.3467 | Acc : 0.8443
     Batch 135 | Loss : 0.3926 | Acc : 0.8173
     Batch 140 | Loss : 0.3435 | Acc : 0.8389
     Batch 145 | Loss : 0.4442 | Acc : 0.8098
     Batch 150 | Loss : 0.3490 | Acc : 0.8511
Epoch 00002 | Train Loss : 0.3879 | Eval Loss : 0.3790 | Train acc : 0.8175 | Eval Acc : 0.8194 | Eval Log. Respected : 0.9629
     Batch 000 | Loss : 0.3917 | Acc : 0.8139
     Batch 005 | Loss : 0.3645 | Acc : 0.8267
     Batch 010 | Loss : 0.3413 | Acc : 0.8398
     Batch 015 | Loss : 0.3863 | Acc : 0.8142
     Batch 020 | Loss : 0.4250 | Acc : 0.8075
     Batch 025 | Loss : 0.3780 | Acc : 0.8298
     Batch 030 | Loss : 0.4654 | Acc : 0.7730
     Batch 035 | Loss : 0.3431 | Acc : 0.8394
     Batch 040 | Loss : 0.4100 | Acc : 0.8013
     Batch 045 | Loss : 0.3322 | Acc : 0.8490
     Batch 050 | Loss : 0.3166 | Acc : 0.8540
     Batch 055 | Loss : 0.3700 | Acc : 0.8295
     Batch 060 | Loss : 0.3932 | Acc : 0.8160
     Batch 065 | Loss : 0.3969 | Acc : 0.8148
     Batch 070 | Loss : 0.3257 | Acc : 0.8483
     Batch 075 | Loss : 0.3437 | Acc : 0.8412
     Batch 080 | Loss : 0.3527 | Acc : 0.8398
     Batch 085 | Loss : 0.3677 | Acc : 0.8320
     Batch 090 | Loss : 0.3225 | Acc : 0.8513
     Batch 095 | Loss : 0.3824 | Acc : 0.8226
     Batch 100 | Loss : 0.4411 | Acc : 0.7817
     Batch 105 | Loss : 0.3717 | Acc : 0.8285
     Batch 110 | Loss : 0.3540 | Acc : 0.8344
     Batch 115 | Loss : 0.3670 | Acc : 0.8264
     Batch 120 | Loss : 0.4325 | Acc : 0.7912
     Batch 125 | Loss : 0.3781 | Acc : 0.8202
     Batch 130 | Loss : 0.4144 | Acc : 0.8082
     Batch 135 | Loss : 0.3504 | Acc : 0.8407
     Batch 140 | Loss : 0.3639 | Acc : 0.8259
     Batch 145 | Loss : 0.3143 | Acc : 0.8579
     Batch 150 | Loss : 0.3751 | Acc : 0.8225
Epoch 00003 | Train Loss : 0.3763 | Eval Loss : 0.3701 | Train acc : 0.8234 | Eval Acc : 0.8254 | Eval Log. Respected : 0.9532
     Batch 000 | Loss : 0.4130 | Acc : 0.8006
     Batch 005 | Loss : 0.3615 | Acc : 0.8314
     Batch 010 | Loss : 0.3683 | Acc : 0.8243
     Batch 015 | Loss : 0.3707 | Acc : 0.8250
     Batch 020 | Loss : 0.3973 | Acc : 0.8137
     Batch 025 | Loss : 0.3512 | Acc : 0.8480
     Batch 030 | Loss : 0.4143 | Acc : 0.8045
     Batch 035 | Loss : 0.3825 | Acc : 0.8159
     Batch 040 | Loss : 0.3740 | Acc : 0.8206
     Batch 045 | Loss : 0.3724 | Acc : 0.8301
     Batch 050 | Loss : 0.3879 | Acc : 0.8132
     Batch 055 | Loss : 0.3431 | Acc : 0.8425
     Batch 060 | Loss : 0.4050 | Acc : 0.8055
     Batch 065 | Loss : 0.3631 | Acc : 0.8237
     Batch 070 | Loss : 0.3533 | Acc : 0.8358
     Batch 075 | Loss : 0.3804 | Acc : 0.8196
     Batch 080 | Loss : 0.3891 | Acc : 0.8111
     Batch 085 | Loss : 0.3265 | Acc : 0.8512
     Batch 090 | Loss : 0.3923 | Acc : 0.8193
     Batch 095 | Loss : 0.3181 | Acc : 0.8557
     Batch 100 | Loss : 0.3932 | Acc : 0.8192
     Batch 105 | Loss : 0.3754 | Acc : 0.8256
     Batch 110 | Loss : 0.3561 | Acc : 0.8305
     Batch 115 | Loss : 0.3279 | Acc : 0.8460
     Batch 120 | Loss : 0.3914 | Acc : 0.8132
     Batch 125 | Loss : 0.3912 | Acc : 0.8084
     Batch 130 | Loss : 0.3624 | Acc : 0.8289
     Batch 135 | Loss : 0.3206 | Acc : 0.8578
     Batch 140 | Loss : 0.4001 | Acc : 0.8096
     Batch 145 | Loss : 0.3212 | Acc : 0.8551
     Batch 150 | Loss : 0.3694 | Acc : 0.8240
Epoch 00004 | Train Loss : 0.3694 | Eval Loss : 0.3657 | Train acc : 0.8270 | Eval Acc : 0.8260 | Eval Log. Respected : 0.9384
     Batch 000 | Loss : 0.3158 | Acc : 0.8557
     Batch 005 | Loss : 0.3539 | Acc : 0.8397
     Batch 010 | Loss : 0.3903 | Acc : 0.8230
     Batch 015 | Loss : 0.3605 | Acc : 0.8276
     Batch 020 | Loss : 0.3632 | Acc : 0.8299
     Batch 025 | Loss : 0.3345 | Acc : 0.8431
     Batch 030 | Loss : 0.3431 | Acc : 0.8438
     Batch 035 | Loss : 0.3659 | Acc : 0.8285
     Batch 040 | Loss : 0.3493 | Acc : 0.8339
     Batch 045 | Loss : 0.3578 | Acc : 0.8316
     Batch 050 | Loss : 0.3234 | Acc : 0.8520
     Batch 055 | Loss : 0.3118 | Acc : 0.8593
     Batch 060 | Loss : 0.3108 | Acc : 0.8565
     Batch 065 | Loss : 0.4421 | Acc : 0.7899
     Batch 070 | Loss : 0.3785 | Acc : 0.8186
     Batch 075 | Loss : 0.4209 | Acc : 0.7953
     Batch 080 | Loss : 0.3127 | Acc : 0.8575
     Batch 085 | Loss : 0.4309 | Acc : 0.8034
     Batch 090 | Loss : 0.3834 | Acc : 0.8136
     Batch 095 | Loss : 0.3213 | Acc : 0.8591
     Batch 100 | Loss : 0.3269 | Acc : 0.8540
     Batch 105 | Loss : 0.3050 | Acc : 0.8648
     Batch 110 | Loss : 0.3239 | Acc : 0.8532
     Batch 115 | Loss : 0.3145 | Acc : 0.8560
     Batch 120 | Loss : 0.4046 | Acc : 0.8096
     Batch 125 | Loss : 0.3339 | Acc : 0.8433
     Batch 130 | Loss : 0.3645 | Acc : 0.8332
     Batch 135 | Loss : 0.3810 | Acc : 0.8148
     Batch 140 | Loss : 0.3704 | Acc : 0.8240
     Batch 145 | Loss : 0.4036 | Acc : 0.8138
     Batch 150 | Loss : 0.3460 | Acc : 0.8354
Epoch 00005 | Train Loss : 0.3600 | Eval Loss : 0.3688 | Train acc : 0.8315 | Eval Acc : 0.8215 | Eval Log. Respected : 0.9355
     Batch 000 | Loss : 0.3950 | Acc : 0.8102
     Batch 005 | Loss : 0.3473 | Acc : 0.8415
     Batch 010 | Loss : 0.3083 | Acc : 0.8577
     Batch 015 | Loss : 0.3102 | Acc : 0.8599
     Batch 020 | Loss : 0.3347 | Acc : 0.8460
     Batch 025 | Loss : 0.3520 | Acc : 0.8317
     Batch 030 | Loss : 0.4167 | Acc : 0.8046
     Batch 035 | Loss : 0.3502 | Acc : 0.8379
     Batch 040 | Loss : 0.3840 | Acc : 0.8168
     Batch 045 | Loss : 0.3308 | Acc : 0.8469
     Batch 050 | Loss : 0.3637 | Acc : 0.8286
     Batch 055 | Loss : 0.3641 | Acc : 0.8300
     Batch 060 | Loss : 0.3652 | Acc : 0.8329
     Batch 065 | Loss : 0.3984 | Acc : 0.8072
     Batch 070 | Loss : 0.3441 | Acc : 0.8401
     Batch 075 | Loss : 0.3067 | Acc : 0.8612
     Batch 080 | Loss : 0.3000 | Acc : 0.8632
     Batch 085 | Loss : 0.3902 | Acc : 0.8176
     Batch 090 | Loss : 0.3683 | Acc : 0.8269
     Batch 095 | Loss : 0.3082 | Acc : 0.8589
     Batch 100 | Loss : 0.4055 | Acc : 0.8030
     Batch 105 | Loss : 0.3424 | Acc : 0.8485
     Batch 110 | Loss : 0.3879 | Acc : 0.8193
     Batch 115 | Loss : 0.4292 | Acc : 0.7965
     Batch 120 | Loss : 0.3615 | Acc : 0.8355
     Batch 125 | Loss : 0.3385 | Acc : 0.8426
     Batch 130 | Loss : 0.3350 | Acc : 0.8455
     Batch 135 | Loss : 0.4471 | Acc : 0.7948
     Batch 140 | Loss : 0.3350 | Acc : 0.8551
     Batch 145 | Loss : 0.3445 | Acc : 0.8388
     Batch 150 | Loss : 0.3423 | Acc : 0.8404
Epoch 00006 | Train Loss : 0.3587 | Eval Loss : 0.3555 | Train acc : 0.8332 | Eval Acc : 0.8321 | Eval Log. Respected : 0.9316
     Batch 000 | Loss : 0.3848 | Acc : 0.8157
     Batch 005 | Loss : 0.3250 | Acc : 0.8508
     Batch 010 | Loss : 0.3297 | Acc : 0.8483
     Batch 015 | Loss : 0.3605 | Acc : 0.8342
     Batch 020 | Loss : 0.3420 | Acc : 0.8376
     Batch 025 | Loss : 0.3173 | Acc : 0.8524
     Batch 030 | Loss : 0.3341 | Acc : 0.8472
     Batch 035 | Loss : 0.3557 | Acc : 0.8309
     Batch 040 | Loss : 0.3263 | Acc : 0.8487
     Batch 045 | Loss : 0.3005 | Acc : 0.8628
     Batch 050 | Loss : 0.3406 | Acc : 0.8429
     Batch 055 | Loss : 0.3122 | Acc : 0.8547
     Batch 060 | Loss : 0.3574 | Acc : 0.8340
     Batch 065 | Loss : 0.3332 | Acc : 0.8459
     Batch 070 | Loss : 0.3118 | Acc : 0.8587
     Batch 075 | Loss : 0.3538 | Acc : 0.8319
     Batch 080 | Loss : 0.3483 | Acc : 0.8400
     Batch 085 | Loss : 0.3014 | Acc : 0.8647
     Batch 090 | Loss : 0.3411 | Acc : 0.8434
     Batch 095 | Loss : 0.3926 | Acc : 0.8153
     Batch 100 | Loss : 0.3584 | Acc : 0.8345
     Batch 105 | Loss : 0.3339 | Acc : 0.8439
     Batch 110 | Loss : 0.3828 | Acc : 0.8260
     Batch 115 | Loss : 0.4165 | Acc : 0.8076
     Batch 120 | Loss : 0.4008 | Acc : 0.8091
     Batch 125 | Loss : 0.3473 | Acc : 0.8436
     Batch 130 | Loss : 0.3560 | Acc : 0.8290
     Batch 135 | Loss : 0.3590 | Acc : 0.8331
     Batch 140 | Loss : 0.3624 | Acc : 0.8328
     Batch 145 | Loss : 0.3250 | Acc : 0.8521
     Batch 150 | Loss : 0.3555 | Acc : 0.8316
Epoch 00007 | Train Loss : 0.3535 | Eval Loss : 0.3509 | Train acc : 0.8359 | Eval Acc : 0.8357 | Eval Log. Respected : 0.9374
     Batch 000 | Loss : 0.3437 | Acc : 0.8383
     Batch 005 | Loss : 0.3499 | Acc : 0.8361
     Batch 010 | Loss : 0.3698 | Acc : 0.8253
     Batch 015 | Loss : 0.3919 | Acc : 0.8146
     Batch 020 | Loss : 0.3428 | Acc : 0.8408
     Batch 025 | Loss : 0.3280 | Acc : 0.8487
     Batch 030 | Loss : 0.3267 | Acc : 0.8536
     Batch 035 | Loss : 0.3632 | Acc : 0.8278
     Batch 040 | Loss : 0.3355 | Acc : 0.8452
     Batch 045 | Loss : 0.3754 | Acc : 0.8234
     Batch 050 | Loss : 0.3481 | Acc : 0.8366
     Batch 055 | Loss : 0.3054 | Acc : 0.8628
     Batch 060 | Loss : 0.3229 | Acc : 0.8498
     Batch 065 | Loss : 0.3409 | Acc : 0.8370
     Batch 070 | Loss : 0.3212 | Acc : 0.8535
     Batch 075 | Loss : 0.3593 | Acc : 0.8313
     Batch 080 | Loss : 0.3326 | Acc : 0.8523
     Batch 085 | Loss : 0.3289 | Acc : 0.8435
     Batch 090 | Loss : 0.3663 | Acc : 0.8219
     Batch 095 | Loss : 0.3353 | Acc : 0.8424
     Batch 100 | Loss : 0.3658 | Acc : 0.8309
     Batch 105 | Loss : 0.3071 | Acc : 0.8694
     Batch 110 | Loss : 0.4343 | Acc : 0.8044
     Batch 115 | Loss : 0.3498 | Acc : 0.8369
     Batch 120 | Loss : 0.3349 | Acc : 0.8444
     Batch 125 | Loss : 0.3296 | Acc : 0.8499
     Batch 130 | Loss : 0.3595 | Acc : 0.8314
     Batch 135 | Loss : 0.3302 | Acc : 0.8451
     Batch 140 | Loss : 0.3544 | Acc : 0.8383
     Batch 145 | Loss : 0.4247 | Acc : 0.7956
     Batch 150 | Loss : 0.3557 | Acc : 0.8351
Epoch 00008 | Train Loss : 0.3507 | Eval Loss : 0.3600 | Train acc : 0.8365 | Eval Acc : 0.8273 | Eval Log. Respected : 0.9338
     Batch 000 | Loss : 0.3290 | Acc : 0.8501
     Batch 005 | Loss : 0.3224 | Acc : 0.8466
     Batch 010 | Loss : 0.3170 | Acc : 0.8552
     Batch 015 | Loss : 0.3409 | Acc : 0.8436
     Batch 020 | Loss : 0.3247 | Acc : 0.8522
     Batch 025 | Loss : 0.3165 | Acc : 0.8541
     Batch 030 | Loss : 0.3078 | Acc : 0.8649
     Batch 035 | Loss : 0.4343 | Acc : 0.7959
     Batch 040 | Loss : 0.3879 | Acc : 0.8152
     Batch 045 | Loss : 0.3290 | Acc : 0.8526
     Batch 050 | Loss : 0.3423 | Acc : 0.8373
     Batch 055 | Loss : 0.3135 | Acc : 0.8552
     Batch 060 | Loss : 0.3577 | Acc : 0.8331
     Batch 065 | Loss : 0.3380 | Acc : 0.8429
     Batch 070 | Loss : 0.3281 | Acc : 0.8487
     Batch 075 | Loss : 0.3515 | Acc : 0.8360
     Batch 080 | Loss : 0.3970 | Acc : 0.8151
     Batch 085 | Loss : 0.3534 | Acc : 0.8388
     Batch 090 | Loss : 0.3553 | Acc : 0.8333
     Batch 095 | Loss : 0.3377 | Acc : 0.8442
     Batch 100 | Loss : 0.3605 | Acc : 0.8283
     Batch 105 | Loss : 0.3539 | Acc : 0.8367
     Batch 110 | Loss : 0.3349 | Acc : 0.8422
     Batch 115 | Loss : 0.3322 | Acc : 0.8501
     Batch 120 | Loss : 0.3614 | Acc : 0.8361
     Batch 125 | Loss : 0.3723 | Acc : 0.8222
     Batch 130 | Loss : 0.3487 | Acc : 0.8401
     Batch 135 | Loss : 0.3589 | Acc : 0.8405
     Batch 140 | Loss : 0.2982 | Acc : 0.8645
     Batch 145 | Loss : 0.3429 | Acc : 0.8428
     Batch 150 | Loss : 0.3575 | Acc : 0.8312
Epoch 00009 | Train Loss : 0.3497 | Eval Loss : 0.3597 | Train acc : 0.8378 | Eval Acc : 0.8313 | Eval Log. Respected : 0.9412
     Batch 000 | Loss : 0.3947 | Acc : 0.8156
     Batch 005 | Loss : 0.3770 | Acc : 0.8234
     Batch 010 | Loss : 0.3289 | Acc : 0.8439
     Batch 015 | Loss : 0.2942 | Acc : 0.8668
     Batch 020 | Loss : 0.3175 | Acc : 0.8535
     Batch 025 | Loss : 0.3108 | Acc : 0.8613
     Batch 030 | Loss : 0.3738 | Acc : 0.8218
     Batch 035 | Loss : 0.3699 | Acc : 0.8324
     Batch 040 | Loss : 0.3741 | Acc : 0.8180
     Batch 045 | Loss : 0.3462 | Acc : 0.8410
     Batch 050 | Loss : 0.3737 | Acc : 0.8235
     Batch 055 | Loss : 0.3161 | Acc : 0.8586
     Batch 060 | Loss : 0.3524 | Acc : 0.8339
     Batch 065 | Loss : 0.3275 | Acc : 0.8474
     Batch 070 | Loss : 0.3410 | Acc : 0.8398
     Batch 075 | Loss : 0.3384 | Acc : 0.8420
     Batch 080 | Loss : 0.3078 | Acc : 0.8582
     Batch 085 | Loss : 0.3893 | Acc : 0.8116
     Batch 090 | Loss : 0.3254 | Acc : 0.8538
     Batch 095 | Loss : 0.3062 | Acc : 0.8665
     Batch 100 | Loss : 0.4148 | Acc : 0.8090
     Batch 105 | Loss : 0.3806 | Acc : 0.8246
     Batch 110 | Loss : 0.3229 | Acc : 0.8531
     Batch 115 | Loss : 0.3132 | Acc : 0.8552
     Batch 120 | Loss : 0.3316 | Acc : 0.8469
     Batch 125 | Loss : 0.3510 | Acc : 0.8311
     Batch 130 | Loss : 0.4244 | Acc : 0.7965
     Batch 135 | Loss : 0.3596 | Acc : 0.8296
     Batch 140 | Loss : 0.3622 | Acc : 0.8292
     Batch 145 | Loss : 0.3624 | Acc : 0.8342
     Batch 150 | Loss : 0.3151 | Acc : 0.8614
Epoch 00010 | Train Loss : 0.3486 | Eval Loss : 0.3472 | Train acc : 0.8383 | Eval Acc : 0.8364 | Eval Log. Respected : 0.9272
     Batch 000 | Loss : 0.3306 | Acc : 0.8510
     Batch 005 | Loss : 0.3174 | Acc : 0.8591
     Batch 010 | Loss : 0.3629 | Acc : 0.8284
     Batch 015 | Loss : 0.3981 | Acc : 0.8099
     Batch 020 | Loss : 0.3402 | Acc : 0.8441
     Batch 025 | Loss : 0.3475 | Acc : 0.8361
     Batch 030 | Loss : 0.3593 | Acc : 0.8344
